time,open,high,low,close,volume
1782864000000,2.097,2.105,2.091,2.095,104259.9
1782867600000,2.095,2.104,2.044,2.099,341761.9
1782871200000,2.099,2.113,2.091,2.109,194880.7
1782874800000,2.109,2.132,2.098,2.13,110996.6
1782878400000,2.13,2.145,2.126,2.142,102839.3
1782882000000,2.142,2.144,2.132,2.133,40594.0
1782885600000,2.133,2.137,2.1,2.111,185118.2
1782889200000,2.111,2.112,2.097,2.103,104800.1
1782892800000,2.103,2.103,2.085,2.103,104384.5
1782896400000,2.103,2.111,2.099,2.103,89745.8
1782900000000,2.103,2.113,2.096,2.108,120003.3
1782903600000,2.108,2.118,2.101,2.107,94150.3
1782907200000,2.107,2.109,2.096,2.108,77114.5
1782910800000,2.108,2.17,2.095,2.161,550752.8
1782914400000,2.161,2.187,2.136,2.18,573005.2
1782918000000,2.18,2.206,2.172,2.176,379453.8
1782921600000,2.176,2.189,2.155,2.16,245745.3
1782925200000,2.16,2.166,2.151,2.164,96061.0
1782928800000,2.164,2.169,2.148,2.154,89095.8
1782932400000,2.154,2.164,2.137,2.14,91149.9
1782936000000,2.14,2.15,2.132,2.148,80579.4
1782939600000,2.148,2.211,2.148,2.205,289378.3
1782943200000,2.205,2.254,2.176,2.182,824773.0
1782946800000,2.182,2.182,2.143,2.146,283706.0
1782950400000,2.146,2.153,2.118,2.137,616180.7
1782954000000,2.137,2.182,2.135,2.179,434693.3
1782957600000,2.179,2.199,2.173,2.178,172552.9
1782961200000,2.178,2.201,2.17,2.198,211487.3
1782964800000,2.198,2.201,2.18,2.19,104541.4
1782968400000,2.19,2.19,2.169,2.17,78029.6
1782972000000,2.17,2.17,2.156,2.161,114255.1
1782975600000,2.161,2.193,2.155,2.193,202615.2
1782979200000,2.193,2.222,2.18,2.207,337621.0
1782982800000,2.207,2.226,2.194,2.221,232876.7
1782986400000,2.221,2.247,2.219,2.235,289944.4
1782990000000,2.235,2.239,2.218,2.226,117257.1
1782993600000,2.226,2.239,2.222,2.234,144190.4
1782997200000,2.234,2.25,2.222,2.241,266653.8
1783000800000,2.241,2.249,2.186,2.195,515348.0
1783004400000,2.195,2.196,2.175,2.193,247540.9
1783008000000,2.193,2.208,2.177,2.183,198913.5
1783011600000,2.183,2.21,2.18,2.2,97653.7
1783015200000,2.2,2.21,2.196,2.206,126431.7
1783018800000,2.206,2.208,2.188,2.191,148343.8
1783022400000,2.191,2.193,2.184,2.189,48921.5
1783026000000,2.189,2.194,2.181,2.194,39641.1
1783029600000,2.194,2.196,2.185,2.193,34167.0
1783033200000,2.193,2.2,2.188,2.192,58163.6
1783036800000,2.192,2.203,2.176,2.18,248435.6
1783040400000,2.18,2.219,2.179,2.213,177243.6
1783044000000,2.213,2.221,2.203,2.214,165919.4
1783047600000,2.214,2.216,2.196,2.216,79981.9
1783051200000,2.216,2.218,2.2,2.203,136748.1
1783054800000,2.203,2.219,2.199,2.207,74580.0
1783058400000,2.207,2.223,2.203,2.216,109676.2
1783062000000,2.216,2.217,2.207,2.21,83111.2
1783065600000,2.21,2.228,2.206,2.217,238063.3
1783069200000,2.217,2.23,2.216,2.228,99630.6
1783072800000,2.228,2.24,2.224,2.23,238601.2
1783076400000,2.23,2.246,2.226,2.242,136045.7
1783080000000,2.242,2.251,2.227,2.234,214106.8
1783083600000,2.234,2.242,2.229,2.242,93512.9
1783087200000,2.242,2.242,2.209,2.241,194325.9
1783090800000,2.241,2.251,2.217,2.219,221631.0
