time,open,high,low,close,volume
1782864000000,2.097,2.101,2.091,2.1,59730.9
1782865800000,2.1,2.105,2.095,2.095,44529.0
1782867600000,2.095,2.096,2.044,2.08,259428.9
1782869400000,2.08,2.104,2.078,2.099,82333.0
1782871200000,2.099,2.107,2.091,2.104,146343.2
1782873000000,2.104,2.113,2.103,2.109,48537.5
1782874800000,2.109,2.116,2.098,2.102,36431.3
1782876600000,2.102,2.132,2.1,2.13,74565.3
1782878400000,2.13,2.138,2.126,2.138,34456.9
1782880200000,2.138,2.145,2.13,2.142,68382.4
1782882000000,2.142,2.144,2.133,2.136,27640.9
1782883800000,2.136,2.139,2.132,2.133,12953.1
1782885600000,2.133,2.137,2.121,2.127,98312.0
1782887400000,2.127,2.129,2.1,2.111,86806.2
1782889200000,2.111,2.112,2.097,2.106,76147.7
1782891000000,2.106,2.107,2.099,2.103,28652.4
1782892800000,2.103,2.103,2.085,2.088,64950.1
1782894600000,2.088,2.103,2.086,2.103,39434.4
1782896400000,2.103,2.111,2.099,2.108,43318.6
1782898200000,2.108,2.11,2.099,2.103,46427.2
1782900000000,2.103,2.106,2.096,2.098,75701.6
1782901800000,2.098,2.113,2.098,2.108,44301.7
1782903600000,2.108,2.118,2.103,2.109,52180.0
1782905400000,2.109,2.11,2.101,2.107,41970.3
1782907200000,2.107,2.109,2.098,2.101,35283.3
1782909000000,2.101,2.109,2.096,2.108,41831.2
1782910800000,2.108,2.126,2.107,2.124,59187.1
1782912600000,2.124,2.17,2.095,2.161,491565.7
1782914400000,2.161,2.186,2.136,2.185,333343.8
1782916200000,2.185,2.187,2.164,2.18,239661.4
1782918000000,2.18,2.206,2.18,2.195,309247.2
1782919800000,2.195,2.196,2.172,2.176,70206.6
1782921600000,2.176,2.189,2.166,2.175,175398.0
1782923400000,2.175,2.175,2.155,2.16,70347.3
1782925200000,2.16,2.166,2.151,2.163,42525.4
1782927000000,2.163,2.165,2.155,2.164,53535.6
1782928800000,2.164,2.169,2.16,2.163,38283.7
1782930600000,2.163,2.167,2.148,2.154,50812.1
1782932400000,2.154,2.164,2.146,2.149,36042.5
1782934200000,2.149,2.153,2.137,2.14,55107.4
1782936000000,2.14,2.143,2.132,2.138,57487.8
1782937800000,2.138,2.15,2.138,2.148,23091.6
1782939600000,2.148,2.162,2.148,2.161,94080.1
1782941400000,2.161,2.211,2.161,2.205,195298.2
1782943200000,2.205,2.254,2.193,2.193,738283.0
1782945000000,2.193,2.198,2.176,2.182,86490.0
1782946800000,2.182,2.182,2.161,2.164,93409.5
1782948600000,2.164,2.164,2.143,2.146,190296.5
1782950400000,2.146,2.153,2.118,2.124,476368.1
1782952200000,2.124,2.137,2.121,2.137,139812.6
1782954000000,2.137,2.17,2.135,2.16,331197.3
1782955800000,2.16,2.182,2.16,2.179,103496.0
1782957600000,2.179,2.199,2.176,2.186,89377.1
1782959400000,2.186,2.196,2.173,2.178,83175.8
1782961200000,2.178,2.189,2.17,2.183,121717.5
1782963000000,2.183,2.201,2.177,2.198,89769.8
1782964800000,2.198,2.201,2.182,2.188,53017.1
1782966600000,2.188,2.192,2.18,2.19,51524.3
1782968400000,2.19,2.19,2.182,2.182,30146.3
1782970200000,2.182,2.185,2.169,2.17,47883.3
1782972000000,2.17,2.17,2.156,2.157,62086.5
1782973800000,2.157,2.169,2.156,2.161,52168.6
1782975600000,2.161,2.164,2.155,2.161,64150.1
1782977400000,2.161,2.193,2.16,2.193,138465.1
1782979200000,2.193,2.196,2.18,2.186,100308.6
1782981000000,2.186,2.222,2.183,2.207,237312.4
1782982800000,2.207,2.208,2.194,2.204,72619.8
1782984600000,2.204,2.226,2.204,2.221,160256.9
1782986400000,2.221,2.245,2.219,2.242,165494.4
1782988200000,2.242,2.247,2.229,2.235,124450.0
1782990000000,2.235,2.239,2.227,2.229,62847.4
1782991800000,2.229,2.232,2.218,2.226,54409.7
1782993600000,2.226,2.234,2.222,2.229,78965.5
1782995400000,2.229,2.239,2.224,2.234,65224.9
1782997200000,2.234,2.248,2.229,2.23,105406.3
1782999000000,2.23,2.25,2.222,2.241,161247.5
1783000800000,2.241,2.249,2.211,2.219,171227.9
1783002600000,2.219,2.224,2.186,2.195,344120.1
1783004400000,2.195,2.196,2.175,2.18,159584.2
1783006200000,2.18,2.194,2.18,2.193,87956.7
1783008000000,2.193,2.208,2.177,2.178,141906.9
1783009800000,2.178,2.191,2.178,2.183,57006.6
1783011600000,2.183,2.204,2.18,2.202,45352.2
1783013400000,2.202,2.21,2.198,2.2,52301.5
1783015200000,2.2,2.209,2.199,2.203,33751.1
1783017000000,2.203,2.21,2.196,2.206,92680.6
1783018800000,2.206,2.208,2.188,2.191,98136.0
1783020600000,2.191,2.202,2.188,2.191,50207.8
1783022400000,2.191,2.193,2.184,2.184,31316.8
1783024200000,2.184,2.192,2.184,2.189,17604.7
1783026000000,2.189,2.193,2.187,2.19,25103.7
1783027800000,2.19,2.194,2.181,2.194,14537.4
1783029600000,2.194,2.194,2.186,2.186,17409.6
1783031400000,2.186,2.196,2.185,2.193,16757.4
1783033200000,2.193,2.198,2.188,2.198,32208.8
1783035000000,2.198,2.2,2.19,2.192,25954.8
1783036800000,2.192,2.203,2.184,2.188,144472.7
1783038600000,2.188,2.192,2.176,2.18,103962.9
1783040400000,2.18,2.21,2.179,2.204,53362.9
1783042200000,2.204,2.219,2.202,2.213,123880.7
1783044000000,2.213,2.221,2.209,2.21,120990.2
1783045800000,2.21,2.214,2.203,2.214,44929.2
1783047600000,2.214,2.215,2.196,2.215,42445.2
1783049400000,2.215,2.216,2.207,2.216,37536.7
1783051200000,2.216,2.218,2.2,2.205,79980.0
1783053000000,2.205,2.206,2.2,2.203,56768.1
1783054800000,2.203,2.209,2.199,2.208,24720.2
1783056600000,2.208,2.219,2.206,2.207,49859.8
1783058400000,2.207,2.215,2.205,2.212,26050.4
1783060200000,2.212,2.223,2.203,2.216,83625.8
1783062000000,2.216,2.217,2.207,2.208,56533.6
1783063800000,2.208,2.213,2.207,2.21,26577.6
1783065600000,2.21,2.213,2.206,2.212,33766.1
1783067400000,2.212,2.228,2.209,2.217,204297.2
1783069200000,2.217,2.23,2.216,2.226,52797.8
1783071000000,2.226,2.23,2.221,2.228,46832.8
1783072800000,2.228,2.238,2.228,2.235,127041.3
1783074600000,2.235,2.24,2.224,2.23,111559.9
1783076400000,2.23,2.237,2.226,2.234,47712.8
1783078200000,2.234,2.246,2.23,2.242,88332.9
