time,open,high,low,close,volume
1782864000000,73.63,73.84,73.32,73.61,170203.3
1782867600000,73.61,74.33,72.21,73.93,915171.3
1782871200000,73.93,75.01,73.77,74.76,606271.4
1782874800000,74.76,75.68,74.33,75.45,643673.4
1782878400000,75.45,75.86,75.22,75.55,363621.6
1782882000000,75.55,75.76,75.12,75.21,345192.9
1782885600000,75.21,75.27,73.92,74.28,823051.1
1782889200000,74.28,74.94,74.05,74.85,374119.6
1782892800000,74.85,75.49,74.43,75.41,474008.4
1782896400000,75.41,75.55,74.99,75.41,590384.7
1782900000000,75.41,75.53,74.93,74.95,265871.9
1782903600000,74.95,75.28,74.59,74.78,424860.5
1782907200000,74.78,74.93,74.21,74.54,553411.3
1782910800000,74.54,76.16,74.53,76.0,1386446.4
1782914400000,76.0,77.26,75.62,76.95,1700519.2
1782918000000,76.95,77.8,76.81,77.4,745893.1
1782921600000,77.4,78.22,76.87,77.14,830887.4
1782925200000,77.14,77.91,76.81,77.72,424974.4
1782928800000,77.72,77.9,77.25,77.38,371765.2
1782932400000,77.38,77.64,76.73,76.96,606132.6
1782936000000,76.96,77.47,76.55,77.39,491356.3
1782939600000,77.39,78.68,77.38,78.37,685651.3
1782943200000,78.37,78.94,77.74,77.83,581530.2
1782946800000,77.83,77.85,77.22,77.41,396852.8
1782950400000,77.41,77.43,76.85,77.22,370461.1
1782954000000,77.22,78.69,77.17,78.16,421887.9
1782957600000,78.16,78.58,77.76,78.39,183663.1
1782961200000,78.39,78.98,77.91,78.68,478495.8
1782964800000,78.68,78.69,78.02,78.24,232266.9
1782968400000,78.24,78.35,77.73,78.06,170424.7
1782972000000,78.06,78.61,77.71,77.85,325738.4
1782975600000,77.85,78.17,77.54,77.96,273664.3
1782979200000,77.96,78.47,77.91,78.42,205961.0
1782982800000,78.42,79.77,78.24,79.44,886129.5
1782986400000,79.44,82.19,79.38,82.06,1805099.0
1782990000000,82.06,82.74,81.48,82.35,1160273.7
1782993600000,82.35,82.43,81.06,81.36,1033377.1
1782997200000,81.36,82.03,80.66,81.48,813804.0
