time,open,high,low,close,volume
1782864000000,73.63,73.7,73.52,73.65,11176.4
1782864300000,73.65,73.71,73.59,73.6,17029.6
1782864600000,73.6,73.71,73.57,73.69,7110.5
1782864900000,73.69,73.79,73.5,73.5,13531.4
1782865200000,73.5,73.59,73.37,73.45,21176.7
1782865500000,73.45,73.53,73.32,73.48,28177.7
1782865800000,73.48,73.84,73.48,73.67,29974.5
1782866100000,73.67,73.68,73.53,73.57,12008.2
1782866400000,73.57,73.61,73.54,73.59,2794.3
1782866700000,73.59,73.64,73.54,73.61,5357.9
1782867000000,73.61,73.81,73.58,73.64,11312.9
1782867300000,73.64,73.69,73.58,73.61,10553.2
1782867600000,73.61,73.65,73.34,73.36,13738.8
1782867900000,73.36,73.36,72.92,72.95,44407.7
1782868200000,72.95,72.97,72.21,72.84,238671.9
1782868500000,72.84,73.2,72.7,73.11,108889.0
1782868800000,73.11,73.47,73.02,73.13,71846.6
1782869100000,73.13,73.33,73.06,73.23,33184.3
1782869400000,73.23,73.44,73.2,73.3,24724.1
1782869700000,73.3,74.18,73.3,73.97,168447.3
1782870000000,73.97,74.33,73.87,74.17,113960.6
1782870300000,74.17,74.26,73.85,73.9,48723.6
1782870600000,73.9,74.05,73.76,74.03,27731.3
1782870900000,74.03,74.13,73.91,73.93,20846.1
1782871200000,73.93,74.09,73.92,73.97,21341.6
1782871500000,73.97,73.97,73.77,73.93,28270.9
1782871800000,73.93,74.26,73.92,74.12,27331.9
1782872100000,74.12,74.38,74.06,74.16,37147.4
1782872400000,74.16,74.51,74.1,74.39,43119.2
1782872700000,74.39,74.58,74.35,74.47,35946.5
1782873000000,74.47,74.81,74.42,74.66,132414.7
1782873300000,74.66,74.98,74.63,74.81,73198.2
1782873600000,74.81,75.0,74.67,74.98,104406.9
1782873900000,74.98,75.01,74.66,74.73,48285.3
1782874200000,74.73,74.89,74.71,74.89,36939.9
1782874500000,74.89,74.93,74.74,74.76,17868.9
1782874800000,74.76,74.82,74.54,74.55,68997.3
1782875100000,74.55,74.88,74.55,74.69,21347.4
1782875400000,74.69,74.69,74.6,74.63,12261.1
1782875700000,74.63,74.63,74.39,74.39,33896.4
1782876000000,74.39,74.51,74.33,74.45,13808.3
1782876300000,74.45,74.54,74.37,74.52,23370.7
1782876600000,74.52,74.57,74.39,74.51,7066.4
1782876900000,74.51,75.22,74.51,74.98,108502.7
1782877200000,74.98,75.02,74.76,74.78,12806.6
1782877500000,74.78,75.49,74.78,75.23,102615.9
1782877800000,75.23,75.64,75.23,75.56,188795.8
1782878100000,75.56,75.68,75.42,75.45,50204.8
1782878400000,75.45,75.52,75.31,75.52,55153.8
1782878700000,75.52,75.63,75.43,75.46,25791.6
1782879000000,75.46,75.51,75.34,75.36,25257.6
1782879300000,75.36,75.45,75.3,75.3,20416.5
1782879600000,75.3,75.38,75.22,75.25,16660.1
1782879900000,75.25,75.45,75.23,75.4,15240.4
1782880200000,75.4,75.8,75.33,75.51,86178.4
1782880500000,75.51,75.51,75.36,75.44,23421.8
1782880800000,75.44,75.62,75.42,75.57,20845.3
1782881100000,75.57,75.86,75.55,75.71,42691.1
1782881400000,75.71,75.74,75.57,75.65,17993.1
1782881700000,75.65,75.66,75.51,75.55,13971.9
1782882000000,75.55,75.62,75.52,75.59,16605.8
1782882300000,75.59,75.76,75.4,75.41,27219.7
1782882600000,75.41,75.49,75.38,75.47,19478.8
1782882900000,75.47,75.63,75.46,75.52,21770.2
1782883200000,75.52,75.53,75.23,75.34,35641.1
1782883500000,75.34,75.37,75.13,75.15,38301.9
1782883800000,75.15,75.3,75.14,75.23,19232.0
1782884100000,75.23,75.28,75.12,75.22,18064.3
1782884400000,75.22,75.33,75.22,75.33,21718.7
1782884700000,75.33,75.38,75.12,75.16,102388.6
1782885000000,75.16,75.28,75.14,75.17,13743.4
1782885300000,75.17,75.25,75.14,75.21,11028.4
1782885600000,75.21,75.27,75.02,75.04,43099.4
1782885900000,75.04,75.1,74.9,74.9,46564.9
1782886200000,74.9,75.04,74.9,74.99,22248.6
1782886500000,74.99,75.04,74.83,74.84,39066.0
1782886800000,74.84,74.86,74.55,74.69,67871.5
1782887100000,74.69,74.73,74.61,74.73,19446.7
1782887400000,74.73,74.77,74.39,74.41,62978.2
1782887700000,74.41,74.46,73.92,74.11,380755.9
1782888000000,74.11,74.24,74.04,74.24,38685.1
1782888300000,74.24,74.25,73.98,74.14,34851.5
1782888600000,74.14,74.33,74.14,74.24,41141.3
1782888900000,74.24,74.31,74.15,74.28,26342.0
1782889200000,74.28,74.35,74.18,74.22,14832.2
1782889500000,74.22,74.25,74.05,74.25,46183.9
1782889800000,74.25,74.41,74.13,74.4,36620.3
1782890100000,74.4,74.52,74.32,74.43,30727.6
1782890400000,74.43,74.78,74.21,74.68,68407.9
1782890700000,74.68,74.7,74.55,74.55,19959.3
1782891000000,74.55,74.65,74.38,74.63,35979.0
1782891300000,74.63,74.69,74.51,74.59,16635.5
1782891600000,74.59,74.86,74.55,74.68,48746.8
1782891900000,74.68,74.9,74.6,74.87,19266.9
1782892200000,74.87,74.94,74.72,74.74,21333.2
1782892500000,74.74,74.88,74.72,74.85,15427.0
1782892800000,74.85,74.95,74.61,74.89,84900.7
1782893100000,74.89,75.06,74.85,74.9,50780.8
1782893400000,74.9,74.98,74.79,74.81,25326.8
1782893700000,74.81,74.9,74.73,74.73,35835.0
1782894000000,74.73,74.74,74.49,74.54,34956.7
1782894300000,74.54,74.73,74.53,74.63,15527.8
1782894600000,74.63,74.76,74.43,74.67,35869.4
1782894900000,74.67,74.69,74.52,74.65,23549.9
1782895200000,74.65,74.85,74.63,74.84,29447.8
1782895500000,74.84,74.84,74.66,74.67,15907.2
1782895800000,74.67,74.84,74.64,74.83,10532.3
1782896100000,74.83,75.49,74.79,75.41,111374.0
1782896400000,75.41,75.42,75.09,75.2,106230.6
1782896700000,75.2,75.39,75.19,75.26,38585.0
1782897000000,75.26,75.29,75.11,75.12,23788.3
1782897300000,75.12,75.36,75.12,75.19,40031.4
1782897600000,75.19,75.19,75.07,75.11,14689.6
1782897900000,75.11,75.16,75.04,75.15,26031.3
1782898200000,75.15,75.32,75.06,75.28,30842.6
1782898500000,75.28,75.3,75.2,75.23,25803.7
1782898800000,75.23,75.26,75.12,75.16,8433.6
1782899100000,75.16,75.28,74.99,75.19,160263.2
1782899400000,75.19,75.4,75.14,75.38,54967.7
1782899700000,75.38,75.55,75.29,75.41,60717.7
1782900000000,75.41,75.5,75.23,75.46,33797.0
1782900300000,75.46,75.53,75.32,75.46,23033.7
1782900600000,75.46,75.47,75.23,75.28,32794.7
1782900900000,75.28,75.44,75.17,75.43,37338.3
1782901200000,75.43,75.49,75.26,75.26,11885.3
1782901500000,75.26,75.31,75.11,75.31,21318.8
1782901800000,75.31,75.36,75.18,75.2,22429.3
1782902100000,75.2,75.23,75.11,75.11,20291.5
1782902400000,75.11,75.15,74.97,75.02,24818.8
1782902700000,75.02,75.15,75.0,75.15,11266.9
1782903000000,75.15,75.19,75.04,75.05,15696.4
1782903300000,75.05,75.07,74.93,74.95,11201.2
1782903600000,74.95,74.99,74.63,74.86,99725.6
1782903900000,74.86,74.96,74.75,74.79,76810.6
1782904200000,74.79,75.12,74.76,75.1,41692.4
1782904500000,75.1,75.28,75.06,75.15,22881.2
1782904800000,75.15,75.17,74.98,75.03,23492.5
1782905100000,75.03,75.13,74.97,74.99,11166.8
1782905400000,74.99,75.06,74.78,74.81,33691.9
1782905700000,74.81,74.99,74.8,74.88,15256.1
1782906000000,74.88,74.92,74.81,74.91,6450.2
1782906300000,74.91,74.98,74.7,74.71,29235.3
1782906600000,74.71,74.82,74.71,74.75,24113.3
1782906900000,74.75,74.82,74.59,74.78,40344.6
1782907200000,74.78,74.93,74.63,74.66,17345.7
1782907500000,74.66,74.75,74.49,74.72,50562.5
1782907800000,74.72,74.84,74.32,74.43,145877.8
1782908100000,74.43,74.6,74.42,74.57,33144.7
1782908400000,74.57,74.64,74.48,74.64,20900.0
1782908700000,74.64,74.64,74.51,74.56,12256.0
1782909000000,74.56,74.69,74.3,74.38,68607.3
1782909300000,74.38,74.48,74.33,74.4,28112.7
1782909600000,74.4,74.5,74.35,74.45,14045.1
1782909900000,74.45,74.47,74.32,74.4,9868.3
1782910200000,74.4,74.5,74.21,74.33,49092.9
1782910500000,74.33,74.55,74.32,74.54,103598.3
1782910800000,74.54,74.97,74.53,74.77,120346.8
1782911100000,74.77,74.92,74.74,74.79,36730.9
1782911400000,74.79,75.02,74.79,74.9,54970.7
1782911700000,74.9,75.09,74.81,74.84,53847.5
1782912000000,74.84,75.28,74.82,75.19,130288.8
1782912300000,75.19,75.36,74.99,75.3,48302.1
1782912600000,75.3,75.37,74.58,75.27,204876.7
1782912900000,75.27,75.57,75.09,75.3,96425.3
1782913200000,75.3,75.64,75.2,75.46,87012.0
1782913500000,75.46,75.74,75.29,75.61,121184.4
1782913800000,75.61,76.16,75.52,75.96,262509.2
1782914100000,75.96,76.15,75.83,76.0,169952.0
1782914400000,76.0,76.0,75.62,75.92,105558.1
1782914700000,75.92,75.96,75.75,75.95,32773.3
1782915000000,75.95,76.29,75.92,76.28,155671.4
1782915300000,76.28,77.26,76.2,76.91,754120.4
1782915600000,76.91,77.08,76.8,76.85,140211.4
1782915900000,76.85,76.92,76.58,76.66,75584.3
1782916200000,76.66,76.93,76.33,76.59,123580.5
1782916500000,76.59,76.87,76.43,76.85,66489.9
1782916800000,76.85,76.98,76.73,76.85,65919.9
1782917100000,76.85,77.09,76.39,76.94,65276.8
1782917400000,76.94,77.15,76.86,76.95,66266.2
1782917700000,76.95,76.97,76.69,76.95,49067.0
1782918000000,76.95,77.15,76.83,77.08,46482.4
1782918300000,77.08,77.46,76.95,77.02,88272.2
1782918600000,77.02,77.11,76.93,76.98,32708.3
1782918900000,76.98,77.05,76.82,76.88,23579.4
1782919200000,76.88,77.8,76.81,77.46,232563.2
1782919500000,77.46,77.7,77.39,77.53,70581.0
1782919800000,77.53,77.63,77.19,77.25,75060.1
1782920100000,77.25,77.37,77.2,77.24,63863.7
1782920400000,77.24,77.45,77.22,77.41,24000.9
1782920700000,77.41,77.43,77.11,77.14,31211.2
1782921000000,77.14,77.28,77.07,77.14,26436.0
1782921300000,77.14,77.48,77.14,77.4,31134.7
1782921600000,77.4,77.43,77.15,77.21,51573.0
1782921900000,77.21,77.47,77.18,77.34,27046.5
1782922200000,77.34,77.47,77.24,77.26,20072.5
1782922500000,77.26,77.65,77.24,77.56,137450.0
1782922800000,77.56,77.56,77.28,77.32,42749.7
1782923100000,77.32,78.22,77.3,77.75,257082.6
1782923400000,77.75,77.8,77.55,77.62,44568.1
