trade_id,row,symbol,tf,name,signal_time_ms,entry_time_ms,entry_price,tp_price,sl_price,exit_time_ms,exit_price,exit_reason,hold_hours,gross_bps,stake,pnl_cash,exit_equity,skipped,signal_time_utc,entry_time_utc,exit_time_utc
1,E4,SOLUSDT,4h,W3_NODIP,1733011200000,1733025600000,235.76,241.22500000000002,,1733371200000,234.07,TIMEOUT,96.0,-86.68306752629783,250.0,-2.167076688157446,672.9434331355316,False,2024-12-01 00:00:00,2024-12-01 04:00:00,2024-12-05 04:00:00
2,E4,SOLUSDT,4h,W3_NODIP,1733083200000,1733097600000,237.06,240.57,,1733270400000,240.57,TP,48.0,133.0637813211841,187.5,2.494945899772202,611.8749458997722,False,2024-12-01 20:00:00,2024-12-02 00:00:00,2024-12-04 00:00:00
3,E4,SOLUSDT,4h,W3_NODIP,1733198400000,1733212800000,227.12,232.735,,1733256000000,232.735,TP,12.0,232.2261359633678,140.62,3.265563923916878,755.7605098236891,False,2024-12-03 04:00:00,2024-12-03 08:00:00,2024-12-03 20:00:00
4,E4,SOLUSDT,4h,W3_NODIP,1733256000000,1733270400000,234.12,242.66500000000002,,1733385600000,242.66500000000002,TP,32.0,349.98376900734735,188.94,6.61259333162482,700.2560264671564,False,2024-12-03 20:00:00,2024-12-04 00:00:00,2024-12-05 08:00:00
5,E4,SOLUSDT,4h,W3_NODIP,1733270400000,1733284800000,237.85,242.365,,1733385600000,242.365,TP,28.0,174.8255202858951,141.71,2.47745244797142,844.4434789151278,False,2024-12-04 00:00:00,2024-12-04 04:00:00,2024-12-05 08:00:00
6,E4,SOLUSDT,4h,W3_NODIP,1733284800000,1733299200000,236.85,242.68,,1733385600000,242.68,SKIPPED_MAXOPEN,24.0,231.14735064386798,0.0,0.0,425.110509823689,True,2024-12-04 04:00:00,2024-12-04 08:00:00,2024-12-05 08:00:00
7,E4,SOLUSDT,4h,W3_NODIP,1733342400000,1733356800000,229.32,238.33499999999998,,1733356800000,238.33499999999998,SKIPPED_MAXOPEN,0.0,378.11878597592823,0.0,0.0,425.110509823689,True,2024-12-04 20:00:00,2024-12-05 00:00:00,2024-12-05 00:00:00
8,E4,SOLUSDT,4h,W3_NODIP,1733356800000,1733371200000,233.19,241.82999999999998,,1733385600000,241.82999999999998,TP,4.0,355.5133153222688,168.24,5.98115601698185,1018.6646349321097,False,2024-12-05 00:00:00,2024-12-05 04:00:00,2024-12-05 08:00:00
9,E4,SOLUSDT,4h,W3_NODIP,1733371200000,1733385600000,234.08,240.79000000000002,,1733385600000,240.79000000000002,TP,0.0,271.6541353383462,254.67,6.918215864661662,1025.5828507967715,False,2024-12-05 04:00:00,2024-12-05 08:00:00,2024-12-05 08:00:00
10,E4,SOLUSDT,4h,W3_NODIP,1733400000000,1733414400000,239.24,246.61,,1733443200000,246.61,TP,8.0,293.05885303460974,256.4,7.514028991807393,840.7968797885787,False,2024-12-05 12:00:00,2024-12-05 16:00:00,2024-12-06 00:00:00
