trade_id,row,symbol,tf,name,signal_time_ms,entry_time_ms,entry_price,tp_price,sl_price,exit_time_ms,exit_price,exit_reason,hold_hours,gross_bps,stake,pnl_cash,exit_equity,skipped,signal_time_utc,entry_time_utc,exit_time_utc
1,E3,ETHUSDT,1h,W2_NODIP,1733011200000,1733014800000,3691.14,3742.13,,1733065200000,3742.13,TP,14.0,123.14160394891616,250.0,3.078540098722904,675.3115684129989,False,2024-12-01 00:00:00,2024-12-01 01:00:00,2024-12-01 15:00:00
2,E3,ETHUSDT,1h,W2_NODIP,1733014800000,1733018400000,3712.41,3744.9799999999996,,1733065200000,3744.9799999999996,TP,13.0,72.73276658558649,187.5,1.3637393734797467,864.1753077864787,False,2024-12-01 01:00:00,2024-12-01 02:00:00,2024-12-01 15:00:00
3,E2,BTCUSDT,30m,W1_NODIP,1733018400000,1733020200000,96200.8,96675.55,,1733040000000,96675.55,TP,5.5,34.349901456120946,140.62,0.48302831427597276,562.983028314276,False,2024-12-01 02:00:00,2024-12-01 02:30:00,2024-12-01 08:00:00
4,E4,SOLUSDT,4h,W3_NODIP,1733011200000,1733025600000,235.76,241.22500000000002,,1733371200000,234.07,SKIPPED_MAXOPEN,96.0,-86.68306752629783,0.0,0.0,421.88,True,2024-12-01 00:00:00,2024-12-01 04:00:00,2024-12-05 04:00:00
5,E2,BTCUSDT,30m,W1_NODIP,1733040000000,1733041800000,97044.0,97413.0,,1733058000000,97413.0,TP,4.5,23.023989118338072,140.75,0.3240626468406083,1005.2493704333193,False,2024-12-01 08:00:00,2024-12-01 08:30:00,2024-12-01 13:00:00
6,E3,ETHUSDT,1h,W2_NODIP,1733065200000,1733068800000,3730.99,3760.505,,1733108400000,3760.505,TP,11.0,64.10768991608214,251.31,1.6110903552810603,818.3804607886003,False,2024-12-01 15:00:00,2024-12-01 16:00:00,2024-12-02 03:00:00
7,E4,SOLUSDT,4h,W3_NODIP,1733083200000,1733097600000,237.06,240.57,,1733270400000,240.57,TP,48.0,133.0637813211841,188.48,2.507986150341678,690.5698460439507,False,2024-12-01 20:00:00,2024-12-02 00:00:00,2024-12-04 00:00:00
8,E2,BTCUSDT,30m,W1_NODIP,1733115600000,1733117400000,96762.2,97130.6,,1733153400000,97130.6,TP,10.0,23.072718478911057,204.6,0.47206782007852016,665.4025286086788,False,2024-12-02 05:00:00,2024-12-02 05:30:00,2024-12-02 15:30:00
9,E3,ETHUSDT,1h,W2_NODIP,1733115600000,1733119200000,3679.17,3720.89,,1733295600000,3720.89,TP,49.0,98.3951407518538,153.45,1.5098734348371963,672.8897194787879,False,2024-12-02 05:00:00,2024-12-02 06:00:00,2024-12-04 07:00:00
10,E3,ETHUSDT,1h,W2_NODIP,1733140800000,1733144400000,3598.41,3628.0,,1733144400000,3628.0,SKIPPED_MAXOPEN,0.0,67.23076303145041,0.0,0.0,460.3304607886003,True,2024-12-02 12:00:00,2024-12-02 13:00:00,2024-12-02 13:00:00
11,E3,ETHUSDT,1h,W2_NODIP,1733148000000,1733151600000,3642.84,3680.3849999999998,,1733151600000,3680.3849999999998,SKIPPED_MAXOPEN,0.0,88.06519089501494,0.0,0.0,460.3304607886003,True,2024-12-02 14:00:00,2024-12-02 15:00:00,2024-12-02 15:00:00
12,E1,SOLUSDT,30m,W2_NODIP,1733149800000,1733151600000,225.86,228.98,,1733153400000,228.98,SKIPPED_MAXOPEN,0.5,123.13866997254831,0.0,0.0,460.3304607886003,True,2024-12-02 14:30:00,2024-12-02 15:00:00,2024-12-02 15:30:00
13,E2,BTCUSDT,30m,W1_NODIP,1733149800000,1733151600000,96385.1,97133.6,,1733153400000,97133.6,SKIPPED_MAXOPEN,0.5,62.65723125254837,0.0,0.0,460.3304607886003,True,2024-12-02 14:30:00,2024-12-02 15:00:00,2024-12-02 15:30:00
14,E2,BTCUSDT,30m,W1_NODIP,1733151600000,1733153400000,96728.2,97285.75,,1733153400000,97285.75,TP,0.0,42.64089479593365,166.35,0.7093312849303561,666.1118598936091,False,2024-12-02 15:00:00,2024-12-02 15:30:00,2024-12-02 15:30:00
15,E2,BTCUSDT,30m,W1_NODIP,1733155200000,1733157000000,96666.6,97611.1,,1733342400000,97611.1,TP,51.5,82.70696393583718,166.53,1.3773190704234968,672.5770385492115,False,2024-12-02 16:00:00,2024-12-02 16:30:00,2024-12-04 20:00:00
16,E1,SOLUSDT,30m,W2_NODIP,1733157000000,1733158800000,226.46,228.445,,1733193000000,228.445,SKIPPED_MAXOPEN,9.5,72.65344873266736,0.0,0.0,499.58185989360913,True,2024-12-02 16:30:00,2024-12-02 17:00:00,2024-12-03 02:30:00
17,E2,BTCUSDT,30m,W1_NODIP,1733157000000,1733158800000,96223.6,97132.2,,1733340600000,97132.2,SKIPPED_MAXOPEN,50.5,79.42589967533861,0.0,0.0,499.58185989360913,True,2024-12-02 16:30:00,2024-12-02 17:00:00,2024-12-04 19:30:00
18,E2,BTCUSDT,30m,W1_NODIP,1733169600000,1733171400000,96077.0,96558.04999999999,,1733275800000,96558.04999999999,SKIPPED_MAXOPEN,29.0,35.06921531688003,0.0,0.0,499.58185989360913,True,2024-12-02 20:00:00,2024-12-02 20:30:00,2024-12-04 01:30:00
19,E2,BTCUSDT,30m,W1_NODIP,1733184000000,1733185800000,95830.4,96236.54999999999,,1733193000000,96236.54999999999,SKIPPED_MAXOPEN,2.0,27.382166828062303,0.0,0.0,499.58185989360913,True,2024-12-03 00:00:00,2024-12-03 00:30:00,2024-12-03 02:30:00
20,E2,BTCUSDT,30m,W1_NODIP,1733185800000,1733187600000,95873.5,96317.04999999999,,1733193000000,96317.04999999999,SKIPPED_MAXOPEN,1.5,31.26408757372876,0.0,0.0,499.58185989360913,True,2024-12-03 00:30:00,2024-12-03 01:00:00,2024-12-03 02:30:00
21,E3,ETHUSDT,1h,W2_NODIP,1733187600000,1733191200000,3622.01,3665.3999999999996,,1733202000000,3665.3999999999996,SKIPPED_MAXOPEN,3.0,104.7953622436145,0.0,0.0,499.58185989360913,True,2024-12-03 01:00:00,2024-12-03 02:00:00,2024-12-03 05:00:00
22,E2,BTCUSDT,30m,W1_NODIP,1733193000000,1733194800000,96120.8,96523.1,,1733275800000,96523.1,SKIPPED_MAXOPEN,22.5,26.853584239831847,0.0,0.0,499.58185989360913,True,2024-12-03 02:30:00,2024-12-03 03:00:00,2024-12-04 01:30:00
23,E1,SOLUSDT,30m,W2_NODIP,1733193000000,1733194800000,228.5,230.34499999999997,,1733207400000,230.34499999999997,SKIPPED_MAXOPEN,3.5,65.74398249452825,0.0,0.0,499.58185989360913,True,2024-12-03 02:30:00,2024-12-03 03:00:00,2024-12-03 06:30:00
24,E4,SOLUSDT,4h,W3_NODIP,1733198400000,1733212800000,227.12,232.735,,1733256000000,232.735,SKIPPED_MAXOPEN,12.0,232.2261359633678,0.0,0.0,499.58185989360913,True,2024-12-03 04:00:00,2024-12-03 08:00:00,2024-12-03 20:00:00
25,E1,SOLUSDT,30m,W2_NODIP,1733212800000,1733214600000,227.53,229.495,,1733256000000,229.495,SKIPPED_MAXOPEN,11.5,71.36223794664454,0.0,0.0,499.58185989360913,True,2024-12-03 08:00:00,2024-12-03 08:30:00,2024-12-03 20:00:00
26,E3,ETHUSDT,1h,W2_NODIP,1733212800000,1733216400000,3616.78,3647.9049999999997,,1733270400000,3647.9049999999997,SKIPPED_MAXOPEN,15.0,71.05721111043398,0.0,0.0,499.58185989360913,True,2024-12-03 08:00:00,2024-12-03 09:00:00,2024-12-04 00:00:00
27,E1,SOLUSDT,30m,W2_NODIP,1733234400000,1733236200000,219.02,222.54500000000002,,1733236200000,222.54500000000002,SKIPPED_MAXOPEN,0.0,145.94420600858396,0.0,0.0,499.58185989360913,True,2024-12-03 14:00:00,2024-12-03 14:30:00,2024-12-03 14:30:00
28,E2,BTCUSDT,30m,W1_NODIP,1733234400000,1733236200000,94169.7,94642.35,,1733236200000,94642.35,SKIPPED_MAXOPEN,0.0,35.19130357216905,0.0,0.0,499.58185989360913,True,2024-12-03 14:00:00,2024-12-03 14:30:00,2024-12-03 14:30:00
29,E2,BTCUSDT,30m,W1_NODIP,1733236200000,1733238000000,95282.6,95608.7,,1733238000000,95608.7,SKIPPED_MAXOPEN,0.0,19.224506887930353,0.0,0.0,499.58185989360913,True,2024-12-03 14:30:00,2024-12-03 15:00:00,2024-12-03 15:00:00
30,E2,BTCUSDT,30m,W1_NODIP,1733238000000,1733239800000,95941.2,96528.9,,1733275800000,96528.9,SKIPPED_MAXOPEN,10.0,46.25626946504704,0.0,0.0,499.58185989360913,True,2024-12-03 15:00:00,2024-12-03 15:30:00,2024-12-04 01:30:00
31,E1,SOLUSDT,30m,W2_NODIP,1733238000000,1733239800000,222.84,227.64000000000001,,1733250600000,227.64000000000001,SKIPPED_MAXOPEN,3.0,200.4011847065164,0.0,0.0,499.58185989360913,True,2024-12-03 15:00:00,2024-12-03 15:30:00,2024-12-03 18:30:00
32,E3,ETHUSDT,1h,W2_NODIP,1733238000000,1733241600000,3574.19,3607.385,,1733256000000,3607.385,SKIPPED_MAXOPEN,4.0,77.87418967654256,0.0,0.0,499.58185989360913,True,2024-12-03 15:00:00,2024-12-03 16:00:00,2024-12-03 20:00:00
33,E1,SOLUSDT,30m,W2_NODIP,1733239800000,1733241600000,223.47,225.06,,1733241600000,225.06,SKIPPED_MAXOPEN,0.0,56.15048999865769,0.0,0.0,499.58185989360913,True,2024-12-03 15:30:00,2024-12-03 16:00:00,2024-12-03 16:00:00
34,E2,BTCUSDT,30m,W1_NODIP,1733239800000,1733241600000,95746.0,96377.1,,1733275800000,96377.1,SKIPPED_MAXOPEN,9.5,50.9139807407104,0.0,0.0,499.58185989360913,True,2024-12-03 15:30:00,2024-12-03 16:00:00,2024-12-04 01:30:00
35,E2,BTCUSDT,30m,W1_NODIP,1733241600000,1733243400000,95994.9,96393.0,,1733275800000,96393.0,SKIPPED_MAXOPEN,9.0,26.4709531443864,0.0,0.0,499.58185989360913,True,2024-12-03 16:00:00,2024-12-03 16:30:00,2024-12-04 01:30:00
36,E1,SOLUSDT,30m,W2_NODIP,1733241600000,1733243400000,224.48,226.01,,1733250600000,226.01,SKIPPED_MAXOPEN,2.0,53.157519600855366,0.0,0.0,499.58185989360913,True,2024-12-03 16:00:00,2024-12-03 16:30:00,2024-12-03 18:30:00
37,E3,ETHUSDT,1h,W2_NODIP,1733241600000,1733245200000,3554.46,3608.81,,1733256000000,3608.81,SKIPPED_MAXOPEN,3.0,137.906489312019,0.0,0.0,499.58185989360913,True,2024-12-03 16:00:00,2024-12-03 17:00:00,2024-12-03 20:00:00
38,E2,BTCUSDT,30m,W1_NODIP,1733245200000,1733247000000,95181.5,95624.75,,1733247000000,95624.75,SKIPPED_MAXOPEN,0.0,31.568923582839105,0.0,0.0,499.58185989360913,True,2024-12-03 17:00:00,2024-12-03 17:30:00,2024-12-03 17:30:00
39,E1,SOLUSDT,30m,W2_NODIP,1733259600000,1733261400000,235.65,238.62,,1733261400000,238.62,SKIPPED_MAXOPEN,0.0,111.03437301082107,0.0,0.0,499.58185989360913,True,2024-12-03 21:00:00,2024-12-03 21:30:00,2024-12-03 21:30:00
40,E1,SOLUSDT,30m,W2_NODIP,1733261400000,1733263200000,237.77,241.10000000000002,,1733288400000,241.10000000000002,SKIPPED_MAXOPEN,7.0,125.0513100895829,0.0,0.0,499.58185989360913,True,2024-12-03 21:30:00,2024-12-03 22:00:00,2024-12-04 05:00:00
41,E3,ETHUSDT,1h,W2_NODIP,1733259600000,1733263200000,3614.34,3639.275,,1733270400000,3639.275,SKIPPED_MAXOPEN,2.0,53.98908237741868,0.0,0.0,499.58185989360913,True,2024-12-03 21:00:00,2024-12-03 22:00:00,2024-12-04 00:00:00
42,E1,SOLUSDT,30m,W2_NODIP,1733268600000,1733270400000,234.19,236.95,,1733270400000,236.95,SKIPPED_MAXOPEN,0.0,102.8530253213199,0.0,0.0,517.9298460439508,True,2024-12-03 23:30:00,2024-12-04 00:00:00,2024-12-04 00:00:00
43,E4,SOLUSDT,4h,W3_NODIP,1733256000000,1733270400000,234.12,242.66500000000002,,1733385600000,242.66500000000002,TP,32.0,349.98376900734735,172.64,6.042119788142844,686.0637848662498,False,2024-12-03 20:00:00,2024-12-04 00:00:00,2024-12-05 08:00:00
44,E1,SOLUSDT,30m,W2_NODIP,1733274000000,1733275800000,237.59,240.40000000000003,,1733277600000,240.40000000000003,SKIPPED_MAXOPEN,0.5,103.27097100046427,0.0,0.0,517.9298460439508,True,2024-12-04 01:00:00,2024-12-04 01:30:00,2024-12-04 02:00:00
45,E2,BTCUSDT,30m,W1_NODIP,1733275800000,1733277600000,96303.8,96953.3,,1733302800000,96953.3,SKIPPED_MAXOPEN,7.0,52.442821570903746,0.0,0.0,517.9298460439508,True,2024-12-04 01:30:00,2024-12-04 02:00:00,2024-12-04 09:00:00
46,E1,SOLUSDT,30m,W2_NODIP,1733277600000,1733279400000,237.0,241.72000000000003,,1733398200000,241.72000000000003,SKIPPED_MAXOPEN,33.0,184.15611814346107,0.0,0.0,517.9298460439508,True,2024-12-04 02:00:00,2024-12-04 02:30:00,2024-12-05 11:30:00
47,E4,SOLUSDT,4h,W3_NODIP,1733270400000,1733284800000,237.85,242.365,,1733385600000,242.365,SKIPPED_MAXOPEN,28.0,174.8255202858951,0.0,0.0,517.9298460439508,True,2024-12-04 00:00:00,2024-12-04 04:00:00,2024-12-05 08:00:00
48,E1,SOLUSDT,30m,W2_NODIP,1733288400000,1733290200000,239.99,241.84999999999997,,1733398200000,241.84999999999997,SKIPPED_MAXOPEN,30.0,62.50322930121908,0.0,0.0,517.9298460439508,True,2024-12-04 05:00:00,2024-12-04 05:30:00,2024-12-05 11:30:00
49,E4,SOLUSDT,4h,W3_NODIP,1733284800000,1733299200000,236.85,242.68,,1733385600000,242.68,TP,24.0,231.14735064386798,168.22,3.8883607325311473,858.1721455987808,False,2024-12-04 04:00:00,2024-12-04 08:00:00,2024-12-05 08:00:00
