asset,tf,row,n,trades_month,win,net,monthly,maxdd,med_hold,wr_green,wr_red,ci_lo,ci_hi,pval,bh_grid,bh_union
SOLUSDT,30m,W1_NODIP,16446,587.4,92.8,3.29,1934.7,36.2,0.06,94.2,91.2,-2.7,9.36,0.284559,True,False
SOLUSDT,30m,W1_DIP,3768,134.6,93.9,16.03,2156.5,22.8,0.06,95.7,92.3,-1.16,32.9,0.065124,True,False
SOLUSDT,30m,W2_NODIP,6420,229.3,90.6,20.76,4760.0,22.1,0.1,91.6,89.4,8.63,31.92,0.000476,False,True
SOLUSDT,30m,W2_DIP,1633,58.3,92.8,51.67,3013.5,14.2,0.1,93.8,91.8,21.88,81.26,0.000648,True,True
SOLUSDT,30m,W3_NODIP,1429,51.0,87.3,69.93,3568.8,11.0,0.21,87.2,87.4,36.29,103.39,4.4e-05,True,True
SOLUSDT,30m,W3_DIP,418,14.9,90.9,130.56,1949.0,9.7,0.15,93.4,88.3,37.49,220.72,0.005219,True,True
SOLUSDT,30m,W4_NODIP,7858,280.6,91.9,2.63,738.2,16.5,0.08,92.5,91.4,-5.5,10.3,0.513813,False,False
SOLUSDT,30m,W4_DIP,1455,52.0,94.1,35.78,1859.2,4.8,0.08,94.7,93.5,13.42,57.2,0.001356,False,True
SOLUSDT,1h,W1_NODIP,11123,397.2,90.6,0.86,343.6,33.5,0.12,92.6,88.4,-6.92,8.63,0.827414,False,False
SOLUSDT,1h,W1_DIP,2421,86.5,92.3,26.16,2262.3,14.8,0.12,94.4,90.5,5.94,45.69,0.009858,True,True
SOLUSDT,1h,W2_NODIP,5535,197.7,88.7,13.46,2660.1,22.0,0.17,90.1,86.9,0.86,26.12,0.036818,True,True
SOLUSDT,1h,W2_DIP,1313,46.9,91.0,48.63,2280.5,10.1,0.17,92.0,90.2,16.2,79.05,0.00242,False,True
SOLUSDT,1h,W3_NODIP,1594,56.9,85.6,54.07,3078.1,10.9,0.33,86.4,84.4,23.39,85.27,0.000614,True,True
SOLUSDT,1h,W3_DIP,407,14.5,88.5,90.6,1317.0,7.8,0.25,88.7,88.2,0.93,174.33,0.040528,False,True
SOLUSDT,1h,W4_NODIP,3844,137.3,88.5,-7.87,-1080.8,17.4,0.17,89.0,87.9,-21.98,6.18,0.273005,True,False
SOLUSDT,1h,W4_DIP,698,24.9,90.7,18.54,462.3,3.5,0.12,90.4,90.9,-20.75,56.03,0.343743,False,False
SOLUSDT,4h,W1_NODIP,3951,141.1,83.4,2.73,385.1,18.7,0.33,88.7,77.4,-12.76,19.3,0.738579,False,False
SOLUSDT,4h,W1_DIP,808,28.9,83.7,49.93,1440.8,6.6,0.5,91.9,79.4,4.22,92.64,0.026852,True,True
