row,policy,L_wick,n,win,net,monthly,maxdd,med_hold,worst,retention,pval,K_bars,A_wick
E1,P1_wickSL_P95,11.59,6420,86.1,2.69,617.1,12.9,2.5,-5945.2,13.0,0.586893,,
E1,P1_wickSL_P97.5,15.19,6420,88.3,7.77,1780.9,14.1,2.5,-6428.5,37.4,0.13803,,
E1,P1_wickSL_P99,23.19,6420,89.7,10.96,2512.3,15.8,2.5,-6702.3,52.8,0.049711,,
E1,P4_timeSL_hazard,,6420,90.2,20.69,4743.6,20.8,2.5,-6689.9,99.7,0.000403,176.0,
E1,P4_timeSL_P90,,6420,82.3,12.44,2851.4,15.5,2.5,-6140.4,59.9,0.011046,47.0,
E1,P4_timeSL_P95,,6420,86.5,24.9,5709.4,11.1,2.5,-5709.4,119.9,0.0,83.0,
E1,P5_act_breakeven,,6420,90.5,17.24,3952.8,19.1,2.5,-7479.2,83.0,0.002129,,1.69
E1,BASELINE_noSL,,6420,90.6,20.76,4760.0,22.1,2.5,-7516.4,100.0,0.000626,,
E2,P1_wickSL_P95,11.73,6101,86.6,-4.01,-873.2,7.9,3.0,-1838.6,-39.0,0.060493,,
E2,P1_wickSL_P97.5,15.71,6101,88.8,-0.52,-113.1,5.2,3.0,-1725.6,-5.1,0.817572,,
E2,P1_wickSL_P99,21.66,6101,90.2,2.77,603.4,5.0,3.0,-1897.5,27.0,0.238822,,
E2,P4_timeSL_hazard,,6101,90.3,9.22,2010.0,4.4,3.0,-2144.9,89.9,2.9e-05,166.0,
E2,P4_timeSL_P90,,6101,82.9,1.47,319.6,5.4,3.0,-2047.4,14.3,0.445414,55.0,
E2,P4_timeSL_P95,,6101,86.9,5.98,1303.2,4.0,3.0,-1292.5,58.3,0.002231,95.0,
E2,P5_act_breakeven,,6101,91.3,7.99,1740.5,3.8,3.0,-2134.6,77.8,0.000167,,1.76
E2,BASELINE_noSL,,6101,91.1,10.26,2236.2,4.4,3.0,-2134.6,100.0,4e-06,,
E3,P1_wickSL_P95,8.96,2215,82.3,3.41,270.0,3.2,7.0,-2058.2,16.7,0.526552,,
E3,P1_wickSL_P97.5,11.39,2215,84.6,9.08,718.3,3.1,7.0,-2612.5,44.5,0.108,,
E3,P1_wickSL_P99,14.74,2215,85.9,12.69,1004.1,3.7,7.0,-1780.7,62.2,0.030813,,
E3,P4_timeSL_hazard,,2215,84.1,14.77,1168.4,4.1,7.0,-2821.1,72.3,0.011783,73.0,
E3,P4_timeSL_P90,,2215,79.0,13.94,1102.5,3.0,7.0,-2358.5,68.2,0.004784,42.0,
E3,P4_timeSL_P95,,2215,82.4,17.44,1380.0,3.5,7.0,-2598.8,85.4,0.001139,57.0,
E3,P5_act_breakeven,,2215,87.4,17.44,1379.4,3.8,7.0,-2671.2,85.4,0.002784,,1.76
E3,BASELINE_noSL,,2215,86.8,20.42,1615.5,3.8,7.0,-2671.2,100.0,0.000707,,
E4,P1_wickSL_P95,6.8,1470,75.0,17.15,900.5,5.2,16.0,-3612.2,35.2,0.212382,,
E4,P1_wickSL_P97.5,8.96,1470,77.0,23.95,1257.5,5.8,16.0,-3837.4,49.2,0.096131,,
E4,P1_wickSL_P99,14.17,1470,78.3,31.68,1663.2,7.0,16.0,-6058.9,65.0,0.040209,,
E4,P4_timeSL_hazard,,1470,54.6,8.71,457.3,1.9,4.0,-2366.0,17.9,0.237135,1.0,
E4,P4_timeSL_P90,,1470,73.7,38.8,2037.0,5.3,16.0,-4638.9,79.6,0.003031,13.0,
E4,P4_timeSL_P95,,1470,77.0,46.22,2426.5,6.5,16.0,-6590.9,94.9,0.001231,18.0,
E4,P5_act_breakeven,,1470,79.9,49.67,2607.5,7.2,16.0,-6857.1,102.0,0.000781,,2.27
E4,BASELINE_noSL,,1470,79.0,48.72,2557.6,7.5,16.0,-6857.1,100.0,0.001345,,
