series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,pf,sig_maker
SOLUSDT-5m,ALL,MKT,1.0,low,40427,-16.12,-9.12,-9.5,-8.8,0.441,0.63,False
SOLUSDT-5m,quiet,MKT,1.0,low,16358,-16.51,-9.51,-9.9,-9.1,0.428,0.53,False
SOLUSDT-5m,uwd78,MKT,1.0,low,16301,-17.19,-10.19,-10.8,-9.6,0.509,0.58,False
SOLUSDT-5m,uwd79,MKT,1.0,low,28365,-16.72,-9.72,-10.1,-9.3,0.478,0.6,False
SOLUSDT-5m,prevBear,MKT,1.0,low,19447,-16.08,-9.08,-9.7,-8.5,0.451,0.63,False
SOLUSDT-5m,smaBelow,MKT,1.0,low,17116,-16.0,-9.0,-9.6,-8.4,0.453,0.64,False
SOLUSDT-5m,C3_w8q,MKT,1.0,low,14606,-16.31,-9.31,-9.7,-8.9,0.421,0.54,False
SOLUSDT-5m,C6_w9dip,MKT,1.0,low,9473,-14.84,-7.84,-8.6,-7.0,0.414,0.72,False
SOLUSDT-5m,CQ7_w78q,MKT,1.0,low,6458,-17.66,-10.66,-11.3,-10.1,0.482,0.46,False
SOLUSDT-5m,ALL,MKT,1.0,mid,40427,-16.08,-9.08,-9.4,-8.7,0.413,0.62,False
SOLUSDT-5m,quiet,MKT,1.0,mid,16358,-16.53,-9.53,-9.9,-9.2,0.401,0.51,False
SOLUSDT-5m,uwd78,MKT,1.0,mid,16301,-17.13,-10.13,-10.8,-9.6,0.475,0.56,False
SOLUSDT-5m,uwd79,MKT,1.0,mid,28365,-16.7,-9.7,-10.1,-9.3,0.446,0.59,False
SOLUSDT-5m,prevBear,MKT,1.0,mid,19447,-16.02,-9.02,-9.6,-8.5,0.424,0.62,False
SOLUSDT-5m,smaBelow,MKT,1.0,mid,17116,-15.93,-8.93,-9.5,-8.3,0.424,0.63,False
SOLUSDT-5m,C3_w8q,MKT,1.0,mid,14606,-16.36,-9.36,-9.7,-9.0,0.394,0.53,False
SOLUSDT-5m,C6_w9dip,MKT,1.0,mid,9473,-14.83,-7.83,-8.5,-7.0,0.39,0.7,False
SOLUSDT-5m,CQ7_w78q,MKT,1.0,mid,6458,-17.73,-10.73,-11.3,-10.2,0.444,0.43,False
SOLUSDT-5m,ALL,MKT,1.5,low,40427,-14.24,-7.24,-7.7,-6.8,0.401,0.78,False
SOLUSDT-5m,quiet,MKT,1.5,low,16358,-14.59,-7.59,-8.0,-7.2,0.4,0.7,False
SOLUSDT-5m,uwd78,MKT,1.5,low,16301,-15.18,-8.18,-8.9,-7.5,0.474,0.74,False
SOLUSDT-5m,uwd79,MKT,1.5,low,28365,-14.81,-7.81,-8.3,-7.3,0.441,0.75,False
SOLUSDT-5m,prevBear,MKT,1.5,low,19447,-14.1,-7.1,-7.7,-6.5,0.413,0.79,False
SOLUSDT-5m,smaBelow,MKT,1.5,low,17116,-14.0,-7.0,-7.7,-6.3,0.414,0.8,False
SOLUSDT-5m,C3_w8q,MKT,1.5,low,14606,-14.36,-7.36,-7.8,-6.9,0.392,0.72,False
SOLUSDT-5m,C6_w9dip,MKT,1.5,low,9473,-12.88,-5.88,-6.8,-4.9,0.371,0.87,False
SOLUSDT-5m,CQ7_w78q,MKT,1.5,low,6458,-15.79,-8.79,-9.5,-8.1,0.459,0.62,False
SOLUSDT-5m,ALL,MKT,1.5,mid,40427,-14.19,-7.19,-7.6,-6.8,0.376,0.78,False
SOLUSDT-5m,quiet,MKT,1.5,mid,16358,-14.62,-7.62,-8.1,-7.2,0.376,0.69,False
SOLUSDT-5m,uwd78,MKT,1.5,mid,16301,-15.11,-8.11,-8.8,-7.5,0.442,0.73,False
SOLUSDT-5m,uwd79,MKT,1.5,mid,28365,-14.79,-7.79,-8.3,-7.3,0.411,0.74,False
SOLUSDT-5m,prevBear,MKT,1.5,mid,19447,-14.04,-7.04,-7.7,-6.4,0.388,0.78,False
SOLUSDT-5m,smaBelow,MKT,1.5,mid,17116,-13.89,-6.89,-7.6,-6.2,0.389,0.79,False
SOLUSDT-5m,C3_w8q,MKT,1.5,mid,14606,-14.41,-7.41,-7.9,-7.0,0.368,0.71,False
SOLUSDT-5m,C6_w9dip,MKT,1.5,mid,9473,-12.76,-5.76,-6.6,-4.8,0.351,0.87,False
SOLUSDT-5m,CQ7_w78q,MKT,1.5,mid,6458,-15.92,-8.92,-9.6,-8.3,0.423,0.6,False
