series,cond,entry,f,sl,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-5m,loud,MKT,1.0,low,15890,-15.73,-8.73,-9.5,-8.0,0.453,False
SOLUSDT-5m,uwd10,MKT,1.0,low,12062,-14.7,-7.7,-8.4,-7.0,0.351,False
SOLUSDT-5m,uwd910,MKT,1.0,low,24126,-15.39,-8.39,-8.8,-7.9,0.394,False
SOLUSDT-5m,prevBull,MKT,1.0,low,20253,-16.14,-9.14,-9.6,-8.6,0.431,False
SOLUSDT-5m,smaAbove,MKT,1.0,low,23307,-16.2,-9.2,-9.7,-8.8,0.432,False
SOLUSDT-5m,trendHi,MKT,1.0,low,16584,-17.02,-10.02,-10.6,-9.4,0.421,False
SOLUSDT-5m,XL,MKT,1.0,low,9388,-15.03,-8.03,-9.0,-7.2,0.395,False
SOLUSDT-5m,XLtrend,MKT,1.0,low,4519,-16.68,-9.68,-11.0,-8.3,0.372,False
SOLUSDT-5m,loud,MKT,1.0,mid,15890,-15.62,-8.62,-9.4,-7.9,0.427,False
SOLUSDT-5m,uwd10,MKT,1.0,mid,12062,-14.63,-7.63,-8.3,-7.0,0.336,False
SOLUSDT-5m,uwd910,MKT,1.0,mid,24126,-15.37,-8.37,-8.8,-7.9,0.372,False
SOLUSDT-5m,prevBull,MKT,1.0,mid,20253,-16.13,-9.13,-9.6,-8.7,0.402,False
SOLUSDT-5m,smaAbove,MKT,1.0,mid,23307,-16.18,-9.18,-9.6,-8.8,0.405,False
SOLUSDT-5m,trendHi,MKT,1.0,mid,16584,-16.97,-9.97,-10.5,-9.4,0.393,False
SOLUSDT-5m,XL,MKT,1.0,mid,9388,-14.98,-7.98,-8.9,-7.1,0.373,False
SOLUSDT-5m,XLtrend,MKT,1.0,mid,4519,-16.64,-9.64,-10.9,-8.3,0.35,False
SOLUSDT-5m,loud,MKT,1.5,low,15890,-13.89,-6.89,-7.8,-6.0,0.401,False
SOLUSDT-5m,uwd10,MKT,1.5,low,12062,-12.91,-5.91,-6.7,-5.1,0.308,False
SOLUSDT-5m,uwd910,MKT,1.5,low,24126,-13.61,-6.61,-7.2,-6.0,0.352,False
SOLUSDT-5m,prevBull,MKT,1.5,low,20253,-14.34,-7.34,-7.9,-6.8,0.39,False
SOLUSDT-5m,smaAbove,MKT,1.5,low,23307,-14.41,-7.41,-8.0,-6.9,0.391,False
SOLUSDT-5m,trendHi,MKT,1.5,low,16584,-15.14,-8.14,-8.8,-7.4,0.38,False
SOLUSDT-5m,XL,MKT,1.5,low,9388,-13.4,-6.4,-7.5,-5.3,0.34,False
SOLUSDT-5m,XLtrend,MKT,1.5,low,4519,-15.31,-8.31,-9.9,-6.7,0.315,False
SOLUSDT-5m,loud,MKT,1.5,mid,15890,-13.75,-6.75,-7.6,-5.9,0.377,False
SOLUSDT-5m,uwd10,MKT,1.5,mid,12062,-12.77,-5.77,-6.5,-5.0,0.295,False
SOLUSDT-5m,uwd910,MKT,1.5,mid,24126,-13.56,-6.56,-7.1,-6.0,0.332,False
SOLUSDT-5m,prevBull,MKT,1.5,mid,20253,-14.3,-7.3,-7.9,-6.7,0.365,False
SOLUSDT-5m,smaAbove,MKT,1.5,mid,23307,-14.4,-7.4,-7.9,-6.9,0.367,False
SOLUSDT-5m,trendHi,MKT,1.5,mid,16584,-15.13,-8.13,-8.8,-7.4,0.354,False
SOLUSDT-5m,XL,MKT,1.5,mid,9388,-13.34,-6.34,-7.4,-5.3,0.32,False
SOLUSDT-5m,XLtrend,MKT,1.5,mid,4519,-15.4,-8.4,-9.9,-6.8,0.294,False
SOLUSDT-5m,loud,PB,1.0,low,13403,-12.07,-5.07,-5.4,-4.7,0.137,False
SOLUSDT-5m,uwd10,PB,1.0,low,11014,-12.28,-5.28,-5.6,-5.0,0.068,False
SOLUSDT-5m,uwd910,PB,1.0,low,21553,-12.26,-5.26,-5.5,-5.0,0.104,False
SOLUSDT-5m,prevBull,PB,1.0,low,17735,-12.23,-5.23,-5.5,-5.0,0.135,False
SOLUSDT-5m,smaAbove,PB,1.0,low,20283,-12.07,-5.07,-5.3,-4.8,0.127,False
SOLUSDT-5m,trendHi,PB,1.0,low,14453,-12.27,-5.27,-5.6,-5.0,0.129,False
SOLUSDT-5m,XL,PB,1.0,low,8219,-12.41,-5.41,-5.8,-5.0,0.104,False
SOLUSDT-5m,XLtrend,PB,1.0,low,3948,-12.87,-5.87,-6.5,-5.3,0.09,False
SOLUSDT-5m,loud,PB,1.0,mid,13403,-12.03,-5.03,-5.3,-4.8,0.069,False
SOLUSDT-5m,uwd10,PB,1.0,mid,11014,-11.85,-4.85,-5.0,-4.7,0.029,False
SOLUSDT-5m,uwd910,PB,1.0,mid,21553,-11.96,-4.96,-5.1,-4.8,0.048,False
SOLUSDT-5m,prevBull,PB,1.0,mid,17735,-12.08,-5.08,-5.3,-4.9,0.064,False
