series,cond,entry,f,exit,N,net_taker,net_maker,ci_lo_m,ci_hi_m,wr,sig_maker
SOLUSDT-5m,ALL,MKT,1.0,low,40427,-16.12,-9.12,-9.5,-8.8,0.441,False
SOLUSDT-5m,quiet,MKT,1.0,low,16358,-16.51,-9.51,-9.9,-9.1,0.428,False
SOLUSDT-5m,uwd78,MKT,1.0,low,16301,-17.19,-10.19,-10.8,-9.6,0.509,False
SOLUSDT-5m,uwd79,MKT,1.0,low,28365,-16.72,-9.72,-10.1,-9.3,0.478,False
SOLUSDT-5m,prevBear,MKT,1.0,low,19447,-16.08,-9.08,-9.7,-8.5,0.451,False
SOLUSDT-5m,smaBelow,MKT,1.0,low,17116,-16.0,-9.0,-9.6,-8.4,0.453,False
SOLUSDT-5m,C3_w8q,MKT,1.0,low,14606,-16.31,-9.31,-9.7,-8.9,0.421,False
SOLUSDT-5m,C6_w9dip,MKT,1.0,low,9473,-14.84,-7.84,-8.6,-7.0,0.414,False
SOLUSDT-5m,CQ7_w78q,MKT,1.0,low,6458,-17.66,-10.66,-11.3,-10.1,0.482,False
SOLUSDT-5m,ALL,MKT,1.0,mid,40427,-16.08,-9.08,-9.4,-8.7,0.413,False
SOLUSDT-5m,quiet,MKT,1.0,mid,16358,-16.53,-9.53,-9.9,-9.2,0.401,False
SOLUSDT-5m,uwd78,MKT,1.0,mid,16301,-17.13,-10.13,-10.8,-9.6,0.475,False
SOLUSDT-5m,uwd79,MKT,1.0,mid,28365,-16.7,-9.7,-10.1,-9.3,0.446,False
SOLUSDT-5m,prevBear,MKT,1.0,mid,19447,-16.02,-9.02,-9.6,-8.5,0.424,False
SOLUSDT-5m,smaBelow,MKT,1.0,mid,17116,-15.93,-8.93,-9.5,-8.3,0.424,False
SOLUSDT-5m,C3_w8q,MKT,1.0,mid,14606,-16.36,-9.36,-9.7,-9.0,0.394,False
SOLUSDT-5m,C6_w9dip,MKT,1.0,mid,9473,-14.83,-7.83,-8.5,-7.0,0.39,False
SOLUSDT-5m,CQ7_w78q,MKT,1.0,mid,6458,-17.73,-10.73,-11.3,-10.2,0.444,False
SOLUSDT-5m,ALL,MKT,1.0,NOSL,40427,-13.95,-6.95,-7.9,-6.1,0.895,False
SOLUSDT-5m,quiet,MKT,1.0,NOSL,16358,-13.42,-6.42,-7.5,-5.3,0.916,False
SOLUSDT-5m,uwd78,MKT,1.0,NOSL,16301,-15.27,-8.27,-9.6,-7.0,0.907,False
SOLUSDT-5m,uwd79,MKT,1.0,NOSL,28365,-14.33,-7.33,-8.3,-6.3,0.904,False
SOLUSDT-5m,prevBear,MKT,1.0,NOSL,19447,-13.26,-6.26,-7.5,-5.0,0.904,False
SOLUSDT-5m,smaBelow,MKT,1.0,NOSL,17116,-12.69,-5.69,-7.2,-4.4,0.909,False
SOLUSDT-5m,C3_w8q,MKT,1.0,NOSL,14606,-12.78,-5.78,-7.0,-4.6,0.916,False
SOLUSDT-5m,C6_w9dip,MKT,1.0,NOSL,9473,-11.96,-4.96,-7.4,-2.7,0.902,False
SOLUSDT-5m,CQ7_w78q,MKT,1.0,NOSL,6458,-14.93,-7.93,-9.7,-6.3,0.924,False
SOLUSDT-5m,ALL,MKT,1.5,low,40427,-14.24,-7.24,-7.7,-6.8,0.401,False
SOLUSDT-5m,quiet,MKT,1.5,low,16358,-14.59,-7.59,-8.0,-7.2,0.4,False
SOLUSDT-5m,uwd78,MKT,1.5,low,16301,-15.18,-8.18,-8.9,-7.5,0.474,False
SOLUSDT-5m,uwd79,MKT,1.5,low,28365,-14.81,-7.81,-8.3,-7.3,0.441,False
