entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval,bh_sig
PB,1.0,ALL,NOSL,0,PB_MKT,749,2.07,-32.6,32.7,0.913,0.900982,False
PB,1.0,ALL,TIME,12,PB_MKT,749,-24.57,-49.3,-0.6,0.798,0.023925,True
PB,1.0,ALL,TIME,24,PB_MKT,749,-16.91,-48.3,11.7,0.861,0.134496,False
PB,1.0,ALL,TIME,48,PB_MKT,749,2.07,-32.6,32.7,0.913,0.900982,False
PB,1.0,quiet,NOSL,0,PB_MKT,307,-9.97,-67.8,37.4,0.938,0.355052,False
PB,1.0,quiet,TIME,12,PB_MKT,307,-32.83,-69.0,0.7,0.827,0.03243,False
PB,1.0,quiet,TIME,24,PB_MKT,307,-19.96,-65.7,20.5,0.889,0.182261,False
PB,1.0,quiet,TIME,48,PB_MKT,307,-9.97,-67.8,37.4,0.938,0.355052,False
PB,1.0,uwd78,NOSL,0,PB_MKT,290,-28.67,-80.7,21.8,0.91,0.1364,False
PB,1.0,uwd78,TIME,12,PB_MKT,290,-62.43,-106.3,-21.3,0.783,0.002011,True
PB,1.0,uwd78,TIME,24,PB_MKT,290,-53.5,-103.5,-6.4,0.852,0.015339,True
PB,1.0,uwd78,TIME,48,PB_MKT,290,-28.67,-80.7,21.8,0.91,0.1364,False
PB,1.0,uwd79,NOSL,0,PB_MKT,519,-17.21,-54.7,19.6,0.908,0.181948,False
PB,1.0,uwd79,TIME,12,PB_MKT,519,-41.93,-71.5,-12.9,0.796,0.002545,True
PB,1.0,uwd79,TIME,24,PB_MKT,519,-40.22,-74.3,-4.3,0.855,0.0122,True
PB,1.0,uwd79,TIME,48,PB_MKT,519,-17.21,-54.7,19.6,0.908,0.181948,False
PB,1.0,prevBear,NOSL,0,PB_MKT,326,16.32,-26.2,55.4,0.923,0.433452,False
PB,1.0,prevBear,TIME,12,PB_MKT,326,-21.68,-59.8,14.3,0.813,0.125708,False
PB,1.0,prevBear,TIME,24,PB_MKT,326,-9.34,-53.5,30.8,0.868,0.331963,False
PB,1.0,prevBear,TIME,48,PB_MKT,326,16.32,-26.2,55.4,0.923,0.433452,False
PB,1.0,smaBelow,NOSL,0,PB_MKT,344,-3.73,-52.8,40.7,0.924,0.437886,False
PB,1.0,smaBelow,TIME,12,PB_MKT,344,-45.8,-86.9,-8.1,0.805,0.011355,True
PB,1.0,smaBelow,TIME,24,PB_MKT,344,-37.42,-85.7,2.8,0.858,0.048643,False
PB,1.0,smaBelow,TIME,48,PB_MKT,344,-3.73,-52.8,40.7,0.924,0.437886,False
PB,1.0,C3_w8q,NOSL,0,PB_MKT,278,-9.87,-76.9,41.7,0.939,0.372153,False
