entry,f,cond,exit,K,cost_cfg,N,net,ci_lo,ci_hi,wr,pval
PB,1.0,ALL,NOSL,0,PB_PB,749,9.57,-25.1,40.2,0.913,0.565571
PB,1.0,ALL,NOSL,0,PB_MKT,749,2.07,-32.6,32.7,0.913,0.900982
PB,1.0,ALL,NOSL,0,MKT_MKT,749,-1.43,-36.1,29.2,0.913,0.46587
PB,1.0,ALL,TIME,12,PB_PB,749,-17.07,-41.8,6.9,0.798,0.084605
PB,1.0,ALL,TIME,12,PB_MKT,749,-24.57,-49.3,-0.6,0.798,0.023925
PB,1.0,ALL,TIME,12,MKT_MKT,749,-28.07,-52.8,-4.1,0.798,0.011894
PB,1.0,ALL,TIME,24,PB_PB,749,-9.41,-40.8,19.2,0.861,0.269214
PB,1.0,ALL,TIME,24,PB_MKT,749,-16.91,-48.3,11.7,0.861,0.134496
PB,1.0,ALL,TIME,24,MKT_MKT,749,-20.41,-51.8,8.2,0.861,0.091078
PB,1.0,ALL,TIME,48,PB_PB,749,9.57,-25.1,40.2,0.913,0.565571
PB,1.0,ALL,TIME,48,PB_MKT,749,2.07,-32.6,32.7,0.913,0.900982
PB,1.0,ALL,TIME,48,MKT_MKT,749,-1.43,-36.1,29.2,0.913,0.46587
PB,1.0,quiet,NOSL,0,PB_PB,307,-2.47,-60.3,44.9,0.938,0.463261
PB,1.0,quiet,NOSL,0,PB_MKT,307,-9.97,-67.8,37.4,0.938,0.355052
PB,1.0,quiet,NOSL,0,MKT_MKT,307,-13.47,-71.3,33.9,0.938,0.307782
PB,1.0,quiet,TIME,12,PB_PB,307,-25.33,-61.5,8.2,0.827,0.077159
PB,1.0,quiet,TIME,12,PB_MKT,307,-32.83,-69.0,0.7,0.827,0.03243
PB,1.0,quiet,TIME,12,MKT_MKT,307,-36.33,-72.5,-2.8,0.827,0.020524
PB,1.0,quiet,TIME,24,PB_PB,307,-12.46,-58.2,28.0,0.889,0.285704
PB,1.0,quiet,TIME,24,PB_MKT,307,-19.96,-65.7,20.5,0.889,0.182261
PB,1.0,quiet,TIME,24,MKT_MKT,307,-23.46,-69.2,17.0,0.889,0.143252
PB,1.0,quiet,TIME,48,PB_PB,307,-2.47,-60.3,44.9,0.938,0.463261
PB,1.0,quiet,TIME,48,PB_MKT,307,-9.97,-67.8,37.4,0.938,0.355052
PB,1.0,quiet,TIME,48,MKT_MKT,307,-13.47,-71.3,33.9,0.938,0.307782
PB,1.0,uwd78,NOSL,0,PB_PB,290,-21.17,-73.2,29.3,0.91,0.209025
PB,1.0,uwd78,NOSL,0,PB_MKT,290,-28.67,-80.7,21.8,0.91,0.1364
PB,1.0,uwd78,NOSL,0,MKT_MKT,290,-32.17,-84.2,18.3,0.91,0.109256
PB,1.0,uwd78,TIME,12,PB_PB,290,-54.93,-98.8,-13.8,0.783,0.005689
PB,1.0,uwd78,TIME,12,PB_MKT,290,-62.43,-106.3,-21.3,0.783,0.002011
PB,1.0,uwd78,TIME,12,MKT_MKT,290,-65.93,-109.8,-24.8,0.783,0.001192
PB,1.0,uwd78,TIME,24,PB_PB,290,-46.0,-96.0,1.1,0.852,0.031567
PB,1.0,uwd78,TIME,24,PB_MKT,290,-53.5,-103.5,-6.4,0.852,0.015339
PB,1.0,uwd78,TIME,24,MKT_MKT,290,-57.0,-107.0,-9.9,0.852,0.01065
PB,1.0,uwd78,TIME,48,PB_PB,290,-21.17,-73.2,29.3,0.91,0.209025
PB,1.0,uwd78,TIME,48,PB_MKT,290,-28.67,-80.7,21.8,0.91,0.1364
PB,1.0,uwd78,TIME,48,MKT_MKT,290,-32.17,-84.2,18.3,0.91,0.109256
PB,1.0,uwd79,NOSL,0,PB_PB,519,-9.71,-47.2,27.1,0.908,0.304243
PB,1.0,uwd79,NOSL,0,PB_MKT,519,-17.21,-54.7,19.6,0.908,0.181948
PB,1.0,uwd79,NOSL,0,MKT_MKT,519,-20.71,-58.2,16.1,0.908,0.137276
PB,1.0,uwd79,TIME,12,PB_PB,519,-34.43,-64.0,-5.4,0.796,0.01072
PB,1.0,uwd79,TIME,12,PB_MKT,519,-41.93,-71.5,-12.9,0.796,0.002545
PB,1.0,uwd79,TIME,12,MKT_MKT,519,-45.43,-75.0,-16.4,0.796,0.001202
PB,1.0,uwd79,TIME,24,PB_PB,519,-32.72,-66.8,3.2,0.855,0.033548
PB,1.0,uwd79,TIME,24,PB_MKT,519,-40.22,-74.3,-4.3,0.855,0.0122
PB,1.0,uwd79,TIME,24,MKT_MKT,519,-43.72,-77.8,-7.8,0.855,0.00721
PB,1.0,uwd79,TIME,48,PB_PB,519,-9.71,-47.2,27.1,0.908,0.304243
PB,1.0,uwd79,TIME,48,PB_MKT,519,-17.21,-54.7,19.6,0.908,0.181948
PB,1.0,uwd79,TIME,48,MKT_MKT,519,-20.71,-58.2,16.1,0.908,0.137276
PB,1.0,prevBear,NOSL,0,PB_PB,326,23.82,-18.7,62.9,0.923,0.252891
PB,1.0,prevBear,NOSL,0,PB_MKT,326,16.32,-26.2,55.4,0.923,0.433452
PB,1.0,prevBear,NOSL,0,MKT_MKT,326,12.82,-29.7,51.9,0.923,0.538376
PB,1.0,prevBear,TIME,12,PB_PB,326,-14.18,-52.3,21.8,0.813,0.226594
PB,1.0,prevBear,TIME,12,PB_MKT,326,-21.68,-59.8,14.3,0.813,0.125708
PB,1.0,prevBear,TIME,12,MKT_MKT,326,-25.18,-63.3,10.8,0.813,0.091415
PB,1.0,prevBear,TIME,24,PB_PB,326,-1.84,-46.0,38.3,0.868,0.46595
PB,1.0,prevBear,TIME,24,PB_MKT,326,-9.34,-53.5,30.8,0.868,0.331963
