ts,open,high,low,close,volume
1704067200000,2281.87,2297.0,2281.27,2291.05,7083.5311
1704069000000,2291.05,2297.18,2288.55,2295.51,3688.3872
1704070800000,2295.52,2300.32,2292.9,2299.11,3081.2785
1704072600000,2299.12,2306.6,2299.11,2303.72,5332.1475
1704074400000,2303.72,2304.72,2295.58,2296.74,2986.7421
1704076200000,2296.73,2299.46,2291.2,2293.02,2821.5112
1704078000000,2293.03,2294.5,2281.0,2282.37,4768.1889
1704079800000,2282.37,2283.8,2271.0,2273.81,5977.5471
1704081600000,2273.8,2278.8,2265.24,2271.62,5660.7636
1704083400000,2271.62,2279.86,2271.34,2279.55,4020.8126
1704085200000,2279.54,2283.36,2276.29,2278.55,3919.1925
1704087000000,2278.54,2280.32,2272.62,2275.89,2785.924
1704088800000,2275.89,2280.45,2274.16,2276.14,3821.5535
1704090600000,2276.14,2283.31,2275.41,2281.9,2235.0784
1704092400000,2281.9,2286.42,2281.51,2285.9,3067.4658
1704094200000,2285.91,2287.88,2282.28,2284.67,2596.7229
1704096000000,2284.68,2287.38,2282.27,2283.01,2233.7264
1704097800000,2283.02,2287.05,2280.0,2287.01,3337.4671
1704099600000,2287.01,2292.0,2287.0,2289.6,3488.1181
1704101400000,2289.6,2300.0,2289.59,2299.8,4595.1439
1704103200000,2299.8,2302.39,2297.4,2299.34,5276.6458
1704105000000,2299.33,2303.0,2299.25,2302.04,2912.1283
1704106800000,2302.04,2305.05,2300.38,2302.2,2863.7333
1704108600000,2302.19,2305.0,2299.0,2304.47,3187.1463
1704110400000,2304.47,2306.5,2300.09,2303.31,2819.8011
1704112200000,2303.3,2307.24,2299.04,2299.43,4437.4368
1704114000000,2299.42,2306.91,2298.07,2306.34,2372.5488
1704115800000,2306.34,2308.2,2303.86,2304.16,2916.2736
1704117600000,2304.16,2304.29,2294.84,2299.83,4121.5184
1704119400000,2299.83,2305.11,2299.35,2300.99,3194.7391
1704121200000,2300.99,2309.06,2299.2,2306.19,4341.1113
1704123000000,2306.2,2318.34,2305.76,2314.7,7962.4231
1704124800000,2314.69,2319.55,2306.53,2310.76,7471.3707
1704126600000,2310.76,2314.21,2308.25,2309.89,4283.8157
1704128400000,2309.89,2317.09,2306.48,2314.61,5458.6715
1704130200000,2314.62,2315.82,2310.4,2313.76,3102.1526
1704132000000,2313.77,2331.77,2313.76,2329.19,11246.3839
1704133800000,2329.19,2329.95,2323.4,2326.9,4102.9704
1704135600000,2326.9,2329.87,2322.0,2329.04,4305.6346
1704137400000,2329.04,2340.98,2328.25,2337.26,6831.2532
1704139200000,2337.27,2348.78,2335.25,2342.72,12136.9822
1704141000000,2342.72,2345.92,2338.17,2340.98,5356.0555
1704142800000,2340.98,2346.55,2336.83,2338.1,6747.7879
1704144600000,2338.1,2338.28,2332.2,2337.83,3491.1795
1704146400000,2337.83,2339.1,2323.66,2330.25,4136.2344
1704148200000,2330.25,2336.2,2330.24,2334.21,2308.0239
1704150000000,2334.22,2349.0,2334.17,2347.0,5065.6102
1704151800000,2347.0,2352.37,2345.1,2352.04,6751.7569
1704153600000,2352.05,2381.0,2346.95,2370.0,24512.2978
1704155400000,2369.99,2391.43,2369.6,2387.58,16175.1668
1704157200000,2387.59,2397.56,2378.4,2388.03,16789.5507
1704159000000,2388.03,2389.11,2370.38,2378.08,12634.873
1704160800000,2378.09,2380.95,2373.65,2380.32,7678.5566
1704162600000,2380.32,2382.96,2376.19,2382.95,5613.9581
1704164400000,2382.96,2384.68,2371.47,2376.84,7754.7143
1704166200000,2376.84,2388.61,2375.39,2386.43,8507.3831
1704168000000,2386.42,2387.99,2378.58,2383.23,6787.2111
1704169800000,2383.23,2390.44,2380.92,2387.66,5337.1225
1704171600000,2387.66,2392.4,2385.22,2389.04,8097.1725
1704173400000,2389.04,2389.99,2377.18,2377.48,6755.1417
1704175200000,2377.47,2383.68,2374.27,2381.44,5334.3327
1704177000000,2381.44,2381.44,2373.86,2373.86,4889.2224
1704178800000,2373.86,2387.6,2373.69,2381.44,7249.0896
1704180600000,2381.43,2388.93,2377.4,2385.84,6092.3661
1704182400000,2385.84,2420.0,2380.09,2418.61,24096.4533
1704184200000,2418.62,2431.3,2418.02,2426.49,24472.3674
1704186000000,2426.49,2428.43,2419.0,2422.95,12139.9491
1704187800000,2422.95,2424.36,2411.74,2413.77,9329.8898
1704189600000,2413.77,2416.4,2405.0,2407.27,7600.7472
1704191400000,2407.27,2407.54,2392.85,2398.14,11409.887
1704193200000,2398.15,2402.91,2395.02,2397.44,6416.9323
1704195000000,2397.44,2399.44,2380.36,2391.24,10703.9199
1704196800000,2391.24,2400.0,2389.84,2399.88,5222.4598
1704198600000,2399.87,2404.68,2382.73,2386.85,9888.1782
1704200400000,2386.85,2395.9,2382.22,2395.1,6783.8389
1704202200000,2395.09,2400.78,2393.04,2398.0,6835.4237
1704204000000,2398.01,2402.65,2387.82,2391.9,6457.9277
1704205800000,2391.91,2392.11,2354.92,2367.28,27359.2897
1704207600000,2367.27,2371.14,2352.04,2358.72,15433.6157
1704209400000,2358.72,2369.24,2354.36,2357.48,10183.9968
1704211200000,2357.48,2360.99,2350.19,2360.74,12739.662
1704213000000,2360.74,2369.6,2358.4,2367.91,6176.8885
1704214800000,2367.92,2368.14,2360.4,2362.11,4603.3764
1704216600000,2362.11,2363.13,2350.95,2357.43,6575.5237
1704218400000,2357.43,2367.62,2355.54,2363.44,4988.9577
1704220200000,2363.43,2369.6,2362.13,2365.7,3397.1268
1704222000000,2365.7,2372.75,2354.79,2360.08,9072.4465
1704223800000,2360.08,2371.66,2357.31,2369.19,9407.7628
1704225600000,2369.19,2380.0,2363.63,2369.75,7377.9701
1704227400000,2369.76,2370.89,2358.32,2359.87,8158.6474
1704229200000,2359.86,2362.64,2341.0,2351.68,11712.1473
1704231000000,2351.67,2366.34,2351.67,2366.34,4970.0524
1704232800000,2366.33,2372.5,2362.62,2366.33,5873.2907
1704234600000,2366.33,2366.34,2357.53,2359.03,3675.5242
1704236400000,2359.02,2361.86,2353.51,2359.25,6774.1701
1704238200000,2359.25,2363.24,2351.0,2355.34,7995.0821
1704240000000,2355.35,2363.23,2347.4,2351.88,8734.5734
1704241800000,2351.88,2367.0,2350.72,2361.39,5968.6356
1704243600000,2361.39,2368.66,2360.04,2368.05,4473.4568
