symbol,tf,ts,ts_entry,bull_e,wick_pct,r_req,gap_trivial,win1,win2,win,exit_ret,day,year,hour
ethusdt,4h,1640995200000,1641009600000.0,True,0.65763327210818,0.006247516085027716,False,True,False,True,0.006247516085027716,2022-01-01,2022,4
ethusdt,4h,1641009600000,1641024000000.0,False,1.1118856838325724,0.012888391847808434,False,False,False,False,0.0026861750804776374,2022-01-01,2022,8
ethusdt,4h,1641024000000,1641038400000.0,False,0.5014390651356344,0.010704016375244318,False,True,True,True,0.010704016375244318,2022-01-01,2022,12
ethusdt,4h,1641038400000,1641052800000.0,True,0.5384801224062477,0.005118259249615509,False,True,True,True,0.005118259249615509,2022-01-01,2022,16
ethusdt,4h,1641052800000,1641067200000.0,True,0.490712747591128,0.004664451915892931,False,True,True,True,0.004664451915892931,2022-01-01,2022,20
ethusdt,4h,1641067200000,1641081600000.0,True,0.2897326811028393,0.0027524604704769473,False,False,False,False,-0.004865172060315448,2022-01-02,2022,0
ethusdt,4h,1641110400000,1641124800000.0,False,0.6084385458372227,0.006624092562619088,False,True,True,True,0.006624092562619088,2022-01-02,2022,12
ethusdt,4h,1641124800000,1641139200000.0,True,0.32317232946108926,0.003070137129880468,False,True,True,True,0.003070137129880468,2022-01-02,2022,16
ethusdt,4h,1641139200000,1641153600000.0,True,1.5457838429786943,0.014610160568570674,False,False,False,False,-0.0036851803106080494,2022-01-02,2022,20
ethusdt,4h,1641153600000,1641168000000.0,True,0.30692714986142566,0.002957725875170736,False,False,False,False,-0.005023366622171288,2022-01-03,2022,0
ethusdt,4h,1641182400000,1641196800000.0,True,0.3704501060679169,0.0035192760076452334,False,True,True,True,0.0035192760076452334,2022-01-03,2022,8
ethusdt,4h,1641196800000,1641211200000.0,True,0.2709532390516864,0.002574055770991013,False,True,False,True,0.002574055770991013,2022-01-03,2022,12
ethusdt,4h,1641211200000,1641225600000.0,False,0.48836693058212965,0.018003509476643975,False,False,False,False,-0.004796460925360235,2022-01-03,2022,16
ethusdt,4h,1641225600000,1641240000000.0,False,0.29317355018189695,0.0149962951965954,False,False,False,False,0.0015621698110683813,2022-01-03,2022,20
ethusdt,4h,1641240000000,1641254400000.0,True,0.33936201004278405,0.003223939095406525,False,False,False,False,-0.0005363937873915647,2022-01-04,2022,0
ethusdt,4h,1641254400000,1641268800000.0,False,0.2262147357400655,0.007985090971250441,False,False,True,True,0.007985090971250441,2022-01-04,2022,4
ethusdt,4h,1641297600000,1641312000000.0,True,1.3302957251813223,0.012640439952097626,False,False,False,False,-0.016729401923881282,2022-01-04,2022,16
ethusdt,4h,1641312000000,1641326400000.0,False,0.4231030530045997,0.013846486798441582,False,False,False,False,-0.00068204771710767,2022-01-04,2022,20
ethusdt,4h,1641326400000,1641340800000.0,False,0.5405391124696518,0.012255158384190779,False,False,False,False,0.008094898417479124,2022-01-05,2022,0
ethusdt,4h,1641340800000,1641355200000.0,True,0.4357584428198392,0.004142341131504912,False,False,True,True,0.004142341131504912,2022-01-05,2022,4
ethusdt,4h,1641369600000,1641384000000.0,False,0.8510716857127029,0.014425361777993473,False,False,False,False,-0.0359707676524188,2022-01-05,2022,12
ethusdt,4h,1641384000000,1641398400000.0,True,0.31484151930007825,0.0029909944333506022,False,False,False,False,-0.07336880425651071,2022-01-05,2022,16
ethusdt,4h,1641412800000,1641427200000.0,False,0.3064426387394308,0.035532173952347756,False,False,False,False,-0.02449277081885526,2022-01-06,2022,0
ethusdt,4h,1641427200000,1641441600000.0,False,0.30764056216165114,0.02930544561488979,False,False,False,False,-0.02880397120182787,2022-01-06,2022,4
ethusdt,4h,1641441600000,1641456000000.0,True,0.7905893800389266,0.007533941106966813,False,False,False,False,-0.016226281769107676,2022-01-06,2022,8
ethusdt,4h,1641470400000,1641484800000.0,True,0.8533975466660322,0.008107276693327226,False,True,True,True,0.008107276693327226,2022-01-06,2022,16
ethusdt,4h,1641484800000,1641499200000.0,True,0.4072764403342905,0.003872038244644882,False,False,False,False,-0.0604940706876147,2022-01-06,2022,20
ethusdt,4h,1641499200000,1641513600000.0,False,0.3360915343092165,0.01507201751785403,False,False,False,False,-0.06004444040025714,2022-01-07,2022,0
ethusdt,4h,1641513600000,1641528000000.0,False,0.3072182391917929,0.054812210921531435,False,False,False,False,-0.004032432365673078,2022-01-07,2022,4
ethusdt,4h,1641528000000,1641542400000.0,False,0.3959715824810771,0.015315374404622384,False,True,True,True,0.015315374404622384,2022-01-07,2022,8
ethusdt,4h,1641542400000,1641556800000.0,True,1.962996949480425,0.01859163137891895,False,False,False,False,-0.008847253135597977,2022-01-07,2022,12
ethusdt,4h,1641556800000,1641571200000.0,False,1.370825337118292,0.0430928667907744,False,False,False,False,0.021569823322231674,2022-01-07,2022,16
ethusdt,4h,1641571200000,1641585600000.0,True,0.7934770370184996,0.007534880666055788,False,True,True,True,0.007534880666055788,2022-01-07,2022,20
ethusdt,4h,1641585600000,1641600000000.0,True,0.8126930145909654,0.007897007515600185,False,True,True,True,0.007897007515600185,2022-01-08,2022,0
ethusdt,4h,1641600000000,1641614400000.0,True,1.3485250507257631,0.012725632614076554,False,False,True,True,0.012725632614076554,2022-01-08,2022,4
ethusdt,4h,1641614400000,1641628800000.0,True,0.4315745943105567,0.0040968365804971985,False,True,True,True,0.0040968365804971985,2022-01-08,2022,8
ethusdt,4h,1641628800000,1641643200000.0,True,0.9332443050357981,0.00886268773525134,False,False,False,False,-0.05938272525124533,2022-01-08,2022,12
ethusdt,4h,1641643200000,1641657600000.0,False,0.3280898023235178,0.02198552049944147,False,False,False,False,-0.025117630120905177,2022-01-08,2022,16
ethusdt,4h,1641657600000,1641672000000.0,False,0.6494428394552232,0.049613371853074684,False,False,False,False,0.030316137020222955,2022-01-08,2022,20
ethusdt,4h,1641672000000,1641686400000.0,True,1.707590191337092,0.01621221169887499,False,True,True,True,0.01621221169887499,2022-01-09,2022,0
ethusdt,4h,1641686400000,1641700800000.0,True,0.8229265807208246,0.007821032122439453,False,True,False,True,0.007821032122439453,2022-01-09,2022,4
ethusdt,4h,1641700800000,1641715200000.0,True,0.6401258509165432,0.006081195583707011,False,False,False,False,-0.009419634149850808,2022-01-09,2022,8
ethusdt,4h,1641715200000,1641729600000.0,True,0.3701549024747293,0.0035164715735098717,False,False,True,True,0.0035164715735098717,2022-01-09,2022,12
ethusdt,4h,1641729600000,1641744000000.0,False,0.2123916657252119,0.011817395402283992,False,True,True,True,0.011817395402283992,2022-01-09,2022,16
ethusdt,4h,1641758400000,1641772800000.0,False,0.24143630808667826,0.01883568054264484,False,False,False,False,0.003575541645383762,2022-01-10,2022,0
ethusdt,4h,1641772800000,1641787200000.0,True,0.5137811248034901,0.004880920685633061,False,True,False,True,0.004880920685633061,2022-01-10,2022,4
ethusdt,4h,1641787200000,1641801600000.0,True,0.6879022774117747,0.006535071635411782,False,False,False,False,-0.049626332494530745,2022-01-10,2022,8
ethusdt,4h,1641801600000,1641816000000.0,False,0.21484941214366476,0.02098830055211587,False,False,False,False,-0.024052802133731954,2022-01-10,2022,12
ethusdt,4h,1641816000000,1641830400000.0,False,0.21688077544856338,0.034708791958140806,False,False,False,False,0.025416878723467873,2022-01-10,2022,16
ethusdt,4h,1641830400000,1641844800000.0,True,2.1536430398547735,0.020459608878620417,False,True,True,True,0.020459608878620417,2022-01-10,2022,20
ethusdt,4h,1641844800000,1641859200000.0,True,0.43695745260618213,0.004089209081148626,False,True,True,True,0.004089209081148626,2022-01-11,2022,0
ethusdt,4h,1641859200000,1641873600000.0,True,0.2660085891930063,0.0026588328060541677,False,True,True,True,0.0026588328060541677,2022-01-11,2022,4
ethusdt,4h,1641873600000,1641888000000.0,True,0.23709175962346737,0.0022523717164228962,False,True,True,True,0.0022523717164228962,2022-01-11,2022,8
ethusdt,4h,1641888000000,1641902400000.0,False,0.5589968273153003,0.011311927018374135,False,True,True,True,0.011311927018374135,2022-01-11,2022,12
ethusdt,4h,1641902400000,1641916800000.0,True,0.7978146261759788,0.007582454404748473,False,True,True,True,0.007582454404748473,2022-01-11,2022,16
ethusdt,4h,1641916800000,1641931200000.0,True,0.814288979914621,0.007738858323782738,False,False,False,False,-0.000818616260499172,2022-01-11,2022,20
ethusdt,4h,1641931200000,1641945600000.0,True,0.28829651945230284,0.002735721803977409,False,True,True,True,0.002735721803977409,2022-01-12,2022,0
ethusdt,4h,1641945600000,1641960000000.0,False,0.6263680546108777,0.007564360598668607,False,True,True,True,0.007564360598668607,2022-01-12,2022,4
ethusdt,4h,1641960000000,1641974400000.0,False,0.8198861234739693,0.013066234036667845,False,True,True,True,0.013066234036667845,2022-01-12,2022,8
ethusdt,4h,1641974400000,1641988800000.0,True,0.7165753504190917,0.0068105423987776526,False,True,True,True,0.0068105423987776526,2022-01-12,2022,12
ethusdt,4h,1641988800000,1642003200000.0,True,0.7811384512874138,0.007423812002677055,False,True,True,True,0.007423812002677055,2022-01-12,2022,16
ethusdt,4h,1642003200000,1642017600000.0,True,0.32288395692515337,0.0030703634820712367,False,True,False,True,0.0030703634820712367,2022-01-12,2022,20
ethusdt,4h,1642017600000,1642032000000.0,False,0.8726707521816655,0.011377090995372985,False,False,False,False,-0.009375370743860523,2022-01-13,2022,0
ethusdt,4h,1642032000000,1642046400000.0,False,0.38825178847467484,0.013745232966749787,False,False,False,False,-0.0012102946947751825,2022-01-13,2022,4
ethusdt,4h,1642046400000,1642060800000.0,True,0.3796418552151441,0.0036065976245438502,False,True,True,True,0.0036065976245438502,2022-01-13,2022,8
ethusdt,4h,1642060800000,1642075200000.0,False,1.1700694963092337,0.012912267546490774,False,True,False,True,0.012912267546490774,2022-01-13,2022,12
ethusdt,4h,1642075200000,1642089600000.0,False,2.3020327555029185,0.03173785825493258,False,False,False,False,-0.018419346826517025,2022-01-13,2022,16
ethusdt,4h,1642089600000,1642104000000.0,False,0.5364511691884374,0.014245038193605897,False,False,False,False,-0.0015466958480692128,2022-01-13,2022,20
ethusdt,4h,1642104000000,1642118400000.0,False,0.22341472747415567,0.011651510055205705,False,False,True,True,0.011651510055205705,2022-01-14,2022,0
ethusdt,4h,1642118400000,1642132800000.0,True,0.2770608891052367,0.0026320784464997082,False,True,False,True,0.0026320784464997082,2022-01-14,2022,4
ethusdt,4h,1642132800000,1642147200000.0,True,1.3282471237117526,0.012621445352650307,False,False,False,False,0.0027654055112329434,2022-01-14,2022,8
ethusdt,4h,1642161600000,1642176000000.0,True,0.661683953630264,0.006236882885521267,False,True,True,True,0.006236882885521267,2022-01-14,2022,16
ethusdt,4h,1642176000000,1642190400000.0,True,0.5880485555773856,0.005446628033167977,False,True,False,True,0.005446628033167977,2022-01-14,2022,20
ethusdt,4h,1642190400000,1642204800000.0,False,1.051574943611629,0.010168348743128997,False,False,False,False,0.0018443378826999979,2022-01-15,2022,0
ethusdt,4h,1642204800000,1642219200000.0,True,0.5499638698832062,0.0052276960102555226,False,False,True,True,0.0052276960102555226,2022-01-15,2022,4
ethusdt,4h,1642219200000,1642233600000.0,True,0.21065211617856594,0.001998171134711235,False,True,True,True,0.001998171134711235,2022-01-15,2022,8
ethusdt,4h,1642233600000,1642248000000.0,True,0.6144268262549155,0.005837054849421763,False,True,True,True,0.005837054849421763,2022-01-15,2022,12
ethusdt,4h,1642248000000,1642262400000.0,True,0.2370633884300055,0.0022521021900852034,False,True,True,True,0.0022521021900852034,2022-01-15,2022,16
ethusdt,4h,1642262400000,1642276800000.0,False,0.28871273530685276,0.006510666248675134,False,False,False,False,-0.010670727156015247,2022-01-15,2022,20
ethusdt,4h,1642276800000,1642291200000.0,False,0.6280742264073755,0.012831916933963683,False,False,False,False,0.0015752244845197438,2022-01-16,2022,0
ethusdt,4h,1642291200000,1642305600000.0,False,0.32049637706307893,0.006937750670718668,False,True,True,True,0.006937750670718668,2022-01-16,2022,4
ethusdt,4h,1642305600000,1642320000000.0,True,0.24881818863960273,0.002288565426170397,False,False,True,True,0.002288565426170397,2022-01-16,2022,8
ethusdt,4h,1642334400000,1642348800000.0,True,0.27076189056209715,0.002575227598710539,False,True,True,True,0.002575227598710539,2022-01-16,2022,16
ethusdt,4h,1642348800000,1642363200000.0,False,1.2077796547394324,0.021266226433843016,False,False,False,False,-0.01889508185861355,2022-01-16,2022,20
ethusdt,4h,1642363200000,1642377600000.0,True,0.4595324600822291,0.0043625574787340415,False,False,False,False,-0.022764417115590962,2022-01-17,2022,0
ethusdt,4h,1642377600000,1642392000000.0,False,0.327786337325297,0.030328216019789966,False,False,False,False,-0.0006997685853010749,2022-01-17,2022,4
ethusdt,4h,1642392000000,1642406400000.0,True,0.8943039716268689,0.008492804314659486,False,False,False,False,-0.010413641074873636,2022-01-17,2022,8
ethusdt,4h,1642406400000,1642420800000.0,False,0.3375369324987494,0.007742925238179987,False,False,False,False,-0.011357703151777976,2022-01-17,2022,12
ethusdt,4h,1642420800000,1642435200000.0,False,0.7618988769252114,0.013197905241530528,False,False,False,False,-0.008335779277957145,2022-01-17,2022,16
ethusdt,4h,1642435200000,1642449600000.0,False,0.3140765961677103,0.008532554158550365,False,False,False,False,-0.011327237875102147,2022-01-17,2022,20
ethusdt,4h,1642464000000,1642478400000.0,False,1.074370037048328,0.01880404861861784,False,False,False,False,-0.003491163679328335,2022-01-18,2022,4
ethusdt,4h,1642478400000,1642492800000.0,True,0.6333501682973595,0.006019982433025817,False,False,False,False,-0.022353974527887677,2022-01-18,2022,8
ethusdt,4h,1642507200000,1642521600000.0,False,0.3192643123463929,0.020578109056838656,False,False,True,True,0.020578109056838656,2022-01-18,2022,16
ethusdt,4h,1642521600000,1642536000000.0,True,0.4022163463536731,0.0038178458154287664,False,True,True,True,0.0038178458154287664,2022-01-18,2022,20
ethusdt,4h,1642536000000,1642550400000.0,True,1.0491004319825337,0.009966454103834232,False,False,False,False,-0.030966659809801067,2022-01-19,2022,0
ethusdt,4h,1642550400000,1642564800000.0,False,0.484613051642586,0.0241108734299329,False,False,False,False,0.005772103542955431,2022-01-19,2022,4
ethusdt,4h,1642564800000,1642579200000.0,False,0.4931417374265156,0.016895819725669448,False,True,True,True,0.016895819725669448,2022-01-19,2022,8
ethusdt,4h,1642579200000,1642593600000.0,True,0.418634193912633,0.0040188954654090114,False,True,True,True,0.0040188954654090114,2022-01-19,2022,12
ethusdt,4h,1642593600000,1642608000000.0,True,1.254371245212448,0.011913286301233672,False,False,False,False,-0.012383553923059898,2022-01-19,2022,16
ethusdt,4h,1642608000000,1642622400000.0,True,0.9785273818238819,0.009292783663344295,False,False,False,False,-0.0009718110850398531,2022-01-19,2022,20
ethusdt,4h,1642622400000,1642636800000.0,False,0.3391677096776297,0.017541066530048388,False,False,True,True,0.017541066530048388,2022-01-20,2022,0
ethusdt,4h,1642651200000,1642665600000.0,True,0.4743684909729915,0.004544904246541082,False,True,True,True,0.004544904246541082,2022-01-20,2022,8
ethusdt,4h,1642680000000,1642694400000.0,True,0.2790195681635579,0.0026537601834790703,False,True,False,True,0.0026537601834790703,2022-01-20,2022,16
ethusdt,4h,1642694400000,1642708800000.0,False,0.3719738249856944,0.0178808688512353,False,False,False,False,-0.11758229454355462,2022-01-20,2022,20
ethusdt,4h,1642723200000,1642737600000.0,False,1.1504218918518787,0.06882747487848961,False,False,False,False,0.00386294986976643,2022-01-21,2022,4
ethusdt,4h,1642737600000,1642752000000.0,True,0.5002341595407029,0.004748739011884995,False,True,False,True,0.004748739011884995,2022-01-21,2022,8
