row,policy,family,n,n0,n_retention_pct,win,win0,win_delta_pp,net,net0,net_delta_bps,net_4,net_11_5,net_opt,net_pess,net_all_signals,monthly,maxdd,maxdd0,maxdd_delta_pp,med_hold_h,worst,worst0,worst_delta_bps,pval,ci_lo,ci_hi,bh_sig,keepn_improve,keepn_defend,fill_rate,notes
E1,BASELINE,BASE,6420,6420,,90.6,90.6,0.0,20.76,20.76,0.0,31.76,24.26,20.76,20.76,20.76,4760.0,22.1,22.1,0.0,2.5,-7516.4,-7516.4,0.0,0.000626,8.63,31.92,False,False,False,1.0,baseline reference (TP 1.5x / 4d time-stop / no SL)
E1,A_disaster_P99_9,A,6420,6420,,90.5,90.6,-0.1,20.71,20.76,-0.05,31.71,24.21,20.71,20.71,20.71,4749.5,16.3,22.1,-5.8,2.5,-5272.8,-7516.4,2243.6,0.000216,9.66,31.36,True,False,True,1.0,L_wick=43.316 (P99.9 winners' MAE)
E1,B_close_below_siglow,B,6420,6420,,46.6,90.6,-44.0,-15.6,20.76,-36.36,-4.6,-12.1,4.61,-13.81,-15.6,-3577.1,18.3,22.1,-3.8,-23.2,-2613.7,-7516.4,4902.7,0.0,-20.72,-10.44,True,False,False,1.0,close<=low[sig]
E1,B_close_below_entry,B,6420,6420,,33.9,90.6,-56.7,-12.36,20.76,-33.12,-1.36,-8.86,1.81,-14.6,-12.36,-2833.7,14.8,22.1,-7.4,-18.9,-2229.1,-7516.4,5287.2,0.0,-16.33,-8.43,True,False,False,1.0,close<=bt
E1,B_close_below_entry_1wick,B,6420,6420,,50.8,90.6,-39.8,-12.84,20.76,-33.6,-1.84,-9.34,15.8,-13.51,-12.84,-2943.8,15.5,22.1,-6.7,68.6,-2613.7,-7516.4,4902.7,2e-06,-18.24,-7.38,True,False,False,1.0,close<=bt-1wick
E1,C_flat_worst_6h,C,6420,6420,,76.1,90.6,-14.5,8.35,20.76,-12.41,19.35,11.85,8.35,8.35,8.35,1915.5,9.3,22.1,-12.8,2.5,-5140.3,-7516.4,2376.0,0.038748,0.42,16.1,True,False,False,1.0,flatten worst tercile @ 6h checkpoint
E1,C_flat_worst_12h,C,6420,6420,,80.5,90.6,-10.1,13.42,20.76,-7.34,24.42,16.92,13.42,13.42,13.42,3076.9,12.5,22.1,-9.6,2.5,-5243.0,-7516.4,2273.4,0.002615,4.63,21.94,True,False,False,1.0,flatten worst tercile @ 12h checkpoint
E1,C_flat_worst_24h,C,6420,6420,,84.9,90.6,-5.8,13.73,20.76,-7.03,24.73,17.23,13.73,13.73,13.73,3147.1,15.7,22.1,-6.4,2.5,-6371.1,-7516.4,1145.3,0.007132,3.22,24.09,True,False,False,1.0,flatten worst tercile @ 24h checkpoint
E1,D_tp_1.00,D,6420,6420,,92.9,90.6,2.2,7.09,20.76,-13.67,18.09,10.59,7.09,7.09,7.09,1626.5,18.8,22.1,-3.3,1.5,-7361.0,-7516.4,155.4,0.182767,-3.29,17.19,False,False,False,1.0,TP f=1.00
E1,D_tp_1.25,D,6420,6420,,91.7,90.6,1.1,13.65,20.76,-7.11,24.65,17.15,13.65,13.65,13.65,3129.7,21.2,22.1,-1.0,2.0,-7516.4,-7516.4,0.0,0.017425,2.66,24.39,True,False,False,1.0,TP f=1.25
E1,D_tp_1.50,D,6420,6420,,90.6,90.6,0.0,20.76,20.76,0.0,31.76,24.26,20.76,20.76,20.76,4760.0,22.1,22.1,0.0,2.5,-7516.4,-7516.4,0.0,0.000626,8.63,31.92,True,True,False,1.0,TP f=1.50
E1,D_tp_2.00,D,6420,6420,,88.1,90.6,-2.5,27.09,20.76,6.33,38.09,30.59,27.09,27.09,27.09,6210.8,28.2,22.1,6.0,4.5,-7516.4,-7516.4,0.0,8.9e-05,13.3,40.35,True,False,False,1.0,TP f=2.00
E1,D_tp_2.50,D,6420,6420,,85.9,90.6,-4.7,38.54,20.76,17.78,49.54,42.04,38.54,38.54,38.54,8835.9,29.5,22.1,7.4,7.0,-7516.4,-7516.4,0.0,0.0,24.16,52.57,True,False,False,1.0,TP f=2.50
E1,D_scale_1.0_1.5,D,6420,6420,,90.8,90.6,0.1,13.93,20.76,-6.83,24.93,17.43,13.93,13.93,13.93,3193.3,20.5,22.1,-1.6,2.5,-7361.0,-7516.4,155.4,0.011984,2.91,24.34,True,False,False,1.0,scale 50/50 f1=1.0 f2=1.5
E1,D_scale_1.0_2.0,D,6420,6420,,88.4,90.6,-2.2,17.09,20.76,-3.67,28.09,20.59,17.09,17.09,17.09,3918.6,23.6,22.1,1.5,4.5,-7361.0,-7516.4,155.4,0.003151,5.72,28.32,True,False,True,1.0,scale 50/50 f1=1.0 f2=2.0
E1,D_scale_1.0_MFEp50,D,6420,6420,,86.5,90.6,-4.1,22.36,20.76,1.6,33.36,25.86,22.36,22.36,22.36,5126.1,23.8,22.1,1.6,6.5,-7361.0,-7516.4,155.4,0.000158,10.61,33.6,True,False,True,1.0,scale 50/50 f1=1.0 f2=MFEp50=2.450
E1,E_time_TTF_P50,E,6420,6420,,57.3,90.6,-33.4,-8.69,20.76,-29.45,2.31,-5.19,-8.69,-8.69,-8.69,-1993.2,10.9,22.1,-11.2,2.0,-3791.2,-7516.4,3725.2,0.002108,-14.31,-3.08,True,False,False,1.0,K_hours=P50(win ttf)=2.0 -> K_bars=4
E1,E_time_TTF_P75,E,6420,6420,,71.8,90.6,-18.8,2.6,20.76,-18.16,13.6,6.1,2.6,2.6,2.6,595.5,11.0,22.1,-11.1,2.5,-5337.2,-7516.4,2179.1,0.503844,-4.98,10.18,False,False,False,1.0,K_hours=P75(win ttf)=8.5 -> K_bars=17
E1,F_act_loserMFEp50,F,6420,6420,,88.9,90.6,-1.7,14.99,20.76,-5.77,25.99,18.49,14.99,14.99,14.99,3436.8,11.5,22.1,-10.7,1.0,-7361.0,-7516.4,155.4,0.000714,6.36,23.2,True,False,False,1.0,"activation=bt+P50(MFE_loser)=0.815wg, BE=entry+15bps"
E1,F_act_1wick,F,6420,6420,,89.3,90.6,-1.3,14.52,20.76,-6.24,25.52,18.02,14.52,14.52,14.52,3330.1,12.5,22.1,-9.6,1.0,-7361.0,-7516.4,155.4,0.00213,5.24,23.21,True,False,False,1.0,"activation=bt+1.0wick, BE=entry+15bps"
E1,G_limit_skip,G,4773,6420,74.3,89.6,90.6,-1.0,26.94,20.76,6.18,37.94,30.44,26.94,26.94,20.03,4591.9,20.0,22.1,-2.1,3.5,-7516.4,-7516.4,0.0,0.00032,11.85,41.49,True,False,False,0.7435,limit=body_bottom; unfilled -> no trade
E1,G_limit_mkt_fallback,G,6420,6420,,85.3,90.6,-5.3,20.94,20.76,0.18,31.94,24.44,20.94,20.94,20.94,4800.3,22.2,22.1,0.1,2.5,-7516.4,-7516.4,0.0,0.000565,8.99,32.43,True,False,False,1.0,limit=body_bottom; unfilled -> fill close[eb]
E2,BASELINE,BASE,6101,6101,,91.1,91.1,0.0,10.26,10.26,0.0,21.26,13.76,10.26,10.26,10.26,2236.2,4.4,4.4,0.0,3.0,-2134.6,-2134.6,0.0,4e-06,5.53,14.52,False,False,False,1.0,baseline reference (TP 1.5x / 4d time-stop / no SL)
E2,A_disaster_P99_9,A,6101,6101,,91.0,91.1,-0.1,7.33,10.26,-2.93,18.33,10.83,7.33,7.33,7.33,1597.8,5.2,4.4,0.8,3.0,-1760.9,-2134.6,373.7,0.002041,2.42,11.93,True,False,False,1.0,L_wick=39.267 (P99.9 winners' MAE)
E2,B_close_below_siglow,B,6101,6101,,49.1,91.1,-42.0,-13.71,10.26,-23.98,-2.71,-10.21,11.53,-13.49,-13.71,-2988.2,15.4,4.4,11.0,-5.1,-859.6,-2134.6,1275.0,0.0,-15.73,-11.72,True,False,False,1.0,close<=low[sig]
E2,B_close_below_entry,B,6101,6101,,34.4,91.1,-56.7,-14.28,10.26,-24.54,-3.28,-10.78,-3.05,-14.54,-14.28,-3111.5,16.0,4.4,11.6,-8.7,-596.2,-2134.6,1538.4,0.0,-15.87,-12.74,True,False,False,1.0,close<=bt
E2,B_close_below_entry_1wick,B,6101,6101,,52.6,91.1,-38.5,-12.57,10.26,-22.83,-1.57,-9.07,15.56,-12.99,-12.57,-2738.0,14.2,4.4,9.8,35.4,-596.2,-2134.6,1538.4,0.0,-14.68,-10.52,True,False,False,1.0,close<=bt-1wick
E2,C_flat_worst_6h,C,6101,6101,,75.5,91.1,-15.6,-5.37,10.26,-15.64,5.63,-1.87,-5.37,-5.37,-5.37,-1170.6,7.3,4.4,2.9,3.0,-2134.6,-2134.6,0.0,0.002679,-8.87,-1.72,True,False,False,1.0,flatten worst tercile @ 6h checkpoint
E2,C_flat_worst_12h,C,6101,6101,,79.7,91.1,-11.4,-1.49,10.26,-11.76,9.51,2.01,-1.49,-1.49,-1.49,-325.4,5.5,4.4,1.1,3.0,-2134.6,-2134.6,0.0,0.415602,-5.1,2.26,False,False,False,1.0,flatten worst tercile @ 12h checkpoint
