row,feature,family,n0,n_defined,n_L,n_W,p_feat_L,p_feat_W,lift,delta_pp,p_two_prop,bh_sig,n_drop,n_keep,n_keep_pct,loser_cut_pct,winner_cut_pct,collateral,wr_keep,wr_delta_pp,net_keep,net_delta_bps,maxdd_keep,ci_lo_keep,ci_hi_keep,cut50,disc,notes
E1,event_red,color,6420,6420,307,2490,0.5016,0.4287,1.17,7.3,0.00054,TRUE,2797,3623,56.4,50.2,42.9,0.855,91.6,1,16.51,-4.25,8.8,2.35,30.33,FALSE,FALSE,
E1,event_green,color,6420,6420,303,3266,0.4951,0.5623,0.88,-6.7,0.001454,TRUE,3569,2851,44.4,49.5,56.2,1.136,89.2,-1.5,26.49,5.73,15.2,5.45,45.23,FALSE,FALSE,
E1,prev_red,color,6420,6420,270,2674,0.4412,0.4604,0.958,-1.9,0.364008,FALSE,2944,3476,54.1,44.1,46,1.044,90.2,-0.5,21.27,0.51,9.6,5.19,36.92,FALSE,FALSE,
E1,prev_green,color,6420,6420,340,3110,0.5556,0.5355,1.038,2,0.343151,FALSE,3450,2970,46.3,55.6,53.5,0.964,90.8,0.2,20.27,-0.49,13.8,1.37,37.88,FALSE,FALSE,
E1,rr,color,6420,6420,140,1151,0.2288,0.1982,1.154,3.1,0.07259,FALSE,1291,5129,79.9,22.9,19.8,0.866,90.8,0.2,20.53,-0.23,12.7,8.55,31.99,FALSE,FALSE,
E1,rg,color,6420,6420,166,1333,0.2712,0.2295,1.182,4.2,0.020284,TRUE,1499,4921,76.7,27.1,23,0.846,90.9,0.3,17.73,-3.03,18,3.21,31.13,FALSE,FALSE,
E1,gr,color,6420,6420,129,1500,0.2108,0.2583,0.816,-4.7,0.010246,TRUE,1629,4791,74.6,21.1,25.8,1.225,89.9,-0.7,21.51,0.75,19.4,5.89,35.65,FALSE,FALSE,
E1,gg,color,6420,6420,173,1748,0.2827,0.301,0.939,-1.8,0.347452,FALSE,1921,4499,70.1,28.3,30.1,1.065,90.2,-0.4,23.82,3.06,18.1,9.28,37.7,FALSE,FALSE,
E1,rvol_ge_1_3,volume,6420,6418,410,3194,0.6699,0.5501,1.218,12,0,TRUE,3604,2816,43.9,67,55,0.821,92.8,2.2,19.5,-1.26,10.8,2.06,36.98,FALSE,FALSE,
E1,rvol_ge_2_0,volume,6420,6418,270,1877,0.4412,0.3233,1.365,11.8,0,TRUE,2147,4273,66.6,44.1,32.3,0.733,92,1.4,22.56,1.8,13.5,8.13,35.39,FALSE,FALSE,
E1,rvol_top_q,volume,6420,6418,187,1097,0.3056,0.1889,1.617,11.7,0,TRUE,1284,5136,80,30.6,18.9,0.618,91.7,1.1,24.5,3.74,15.5,12.04,36.63,FALSE,TRUE,
E1,prev_rvol_ge_2_0,volume,6420,6418,214,1528,0.3497,0.2632,1.329,8.6,5.00E-06,TRUE,1742,4678,72.9,35,26.3,0.752,91.5,0.9,26.17,5.41,13.7,12.83,38.36,FALSE,FALSE,
E1,event_vol_gt_prev,volume,6420,6420,383,3280,0.6258,0.5647,1.108,6.1,0.003691,TRUE,3663,2757,42.9,62.6,56.5,0.902,91.7,1.1,20.29,-0.47,11.2,1.92,37.67,FALSE,FALSE,
