row,feature,family,n0,n_defined,n_L,n_W,p_feat_L,p_feat_W,lift,delta_pp,p_two_prop,bh_sig,n_drop,n_keep,n_keep_pct,losers_dropped,winners_dropped,loser_cut_pct,winner_cut_pct,collateral,wr_keep,wr_delta_pp,net_keep,net_delta_bps,maxdd_keep,ci_lo_keep,ci_hi_keep,cut50,disc,notes
E1,event_red,color,6420,6420,307,2490,0.5016,0.4287,1.17,7.3,0.00054,True,2797,3623,56.4,307,2490,50.2,42.9,0.855,91.6,1.0,16.51,-4.25,8.8,2.35,30.33,False,False,
E1,event_green,color,6420,6420,303,3266,0.4951,0.5623,0.88,-6.7,0.001454,True,3569,2851,44.4,303,3266,49.5,56.2,1.136,89.2,-1.5,26.49,5.73,15.2,5.45,45.23,False,False,
E1,prev_red,color,6420,6420,270,2674,0.4412,0.4604,0.958,-1.9,0.364008,False,2944,3476,54.1,270,2674,44.1,46.0,1.044,90.2,-0.5,21.27,0.51,9.6,5.19,36.92,False,False,
E1,prev_green,color,6420,6420,340,3110,0.5556,0.5355,1.038,2.0,0.343151,False,3450,2970,46.3,340,3110,55.6,53.5,0.964,90.8,0.2,20.27,-0.49,13.8,1.37,37.88,False,False,
E1,rr,color,6420,6420,140,1151,0.2288,0.1982,1.154,3.1,0.07259,False,1291,5129,79.9,140,1151,22.9,19.8,0.866,90.8,0.2,20.53,-0.23,12.7,8.55,31.99,False,False,
E1,rg,color,6420,6420,166,1333,0.2712,0.2295,1.182,4.2,0.020284,True,1499,4921,76.7,166,1333,27.1,23.0,0.846,90.9,0.3,17.73,-3.03,18.0,3.21,31.13,False,False,
E1,gr,color,6420,6420,129,1500,0.2108,0.2583,0.816,-4.7,0.010246,True,1629,4791,74.6,129,1500,21.1,25.8,1.225,89.9,-0.7,21.51,0.75,19.4,5.89,35.65,False,False,
E1,gg,color,6420,6420,173,1748,0.2827,0.301,0.939,-1.8,0.347452,False,1921,4499,70.1,173,1748,28.3,30.1,1.065,90.2,-0.4,23.82,3.06,18.1,9.28,37.7,False,False,
E1,rvol_ge_1_3,volume,6420,6418,410,3194,0.6699,0.5501,1.218,12.0,0.0,True,3604,2816,43.9,410,3194,67.0,55.0,0.821,92.8,2.2,19.5,-1.26,10.8,2.06,36.98,False,False,
E1,rvol_ge_2_0,volume,6420,6418,270,1877,0.4412,0.3233,1.365,11.8,0.0,True,2147,4273,66.6,270,1877,44.1,32.3,0.733,92.0,1.4,22.56,1.8,13.5,8.13,35.39,False,False,
E1,rvol_top_q,volume,6420,6418,187,1097,0.3056,0.1889,1.617,11.7,0.0,True,1284,5136,80.0,187,1097,30.6,18.9,0.618,91.7,1.1,24.5,3.74,15.5,12.04,36.63,False,True,
E1,prev_rvol_ge_2_0,volume,6420,6418,214,1528,0.3497,0.2632,1.329,8.6,5e-06,True,1742,4678,72.9,214,1528,35.0,26.3,0.752,91.5,0.9,26.17,5.41,13.7,12.83,38.36,False,False,
E1,event_vol_gt_prev,volume,6420,6420,383,3280,0.6258,0.5647,1.108,6.1,0.003691,True,3663,2757,42.9,383,3280,62.6,56.5,0.902,91.7,1.1,20.29,-0.47,11.2,1.92,37.67,False,False,
E1,rr_and_rvol_ge_2_0,combo,6420,6418,46,313,0.0752,0.0539,1.394,2.1,0.02954,True,359,6061,94.4,46,313,7.5,5.4,0.717,90.7,0.0,20.09,-0.67,17.8,8.98,31.21,False,False,
E1,event_red_and_rvol_ge_2_0,combo,6420,6418,120,677,0.1961,0.1166,1.682,7.9,0.0,True,797,5623,87.6,120,677,19.6,11.7,0.594,91.3,0.6,21.62,0.86,15.5,9.35,33.84,False,True,
E1,event_red_and_rvol_ge_1_3,combo,6420,6418,198,1256,0.3235,0.2163,1.496,10.7,0.0,True,1454,4966,77.4,198,1256,32.4,21.6,0.668,91.7,1.0,18.57,-2.19,14.4,6.16,30.76,False,False,
E1,event_red_and_rvol_top_q,combo,6420,6418,80,369,0.1307,0.0636,2.057,6.7,0.0,True,449,5971,93.0,80,369,13.1,6.4,0.486,91.1,0.5,23.2,2.44,16.9,10.84,34.18,False,False,
E2,event_red,color,6101,6101,280,2334,0.5027,0.421,1.194,8.2,0.000204,True,2614,3487,57.2,280,2334,50.3,42.1,0.837,92.1,1.0,4.7,-5.56,3.3,-0.89,10.2,False,False,
E2,event_green,color,6101,6101,275,3205,0.4937,0.5781,0.854,-8.4,0.000125,True,3480,2621,43.0,275,3205,49.4,57.8,1.171,89.2,-1.9,17.56,7.3,2.2,10.35,24.54,False,False,
E2,prev_red,color,6101,6101,206,2422,0.3698,0.4369,0.847,-6.7,0.002324,True,2628,3473,56.9,206,2422,37.0,43.7,1.181,89.9,-1.2,7.13,-3.14,2.2,1.1,12.91,False,False,
E2,prev_green,color,6101,6101,350,3119,0.6284,0.5626,1.117,6.6,0.002809,True,3469,2632,43.1,350,3119,62.8,56.3,0.895,92.1,1.0,14.42,4.16,2.9,7.81,20.74,False,False,
E2,rr,color,6101,6101,112,1016,0.2011,0.1833,1.097,1.8,0.301842,False,1128,4973,81.5,112,1016,20.1,18.3,0.911,91.1,-0.0,7.23,-3.03,3.6,2.35,11.97,False,False,
E2,rg,color,6101,6101,167,1315,0.2998,0.2372,1.264,6.3,0.001018,True,1482,4619,75.7,167,1315,30.0,23.7,0.791,91.6,0.5,9.35,-0.92,3.8,4.27,14.27,False,False,
E2,gr,color,6101,6101,93,1403,0.167,0.2531,0.66,-8.6,7e-06,True,1496,4605,75.5,93,1403,16.7,25.3,1.516,89.9,-1.2,11.14,0.88,3.0,5.8,16.29,False,False,
E2,gg,color,6101,6101,182,1802,0.3268,0.325,1.005,0.2,0.93438,False,1984,4117,67.5,182,1802,32.7,32.5,0.995,90.9,-0.2,13.93,3.66,3.5,8.33,19.4,False,False,
E2,rvol_ge_1_3,volume,6101,6099,421,3503,0.7558,0.6321,1.196,12.4,0.0,True,3924,2177,35.7,421,3503,75.6,63.2,0.836,93.8,2.7,12.74,2.48,1.4,6.49,18.62,False,False,
E2,rvol_ge_2_0,volume,6101,6099,333,2472,0.5978,0.446,1.34,15.2,0.0,True,2805,3296,54.0,333,2472,59.8,44.6,0.746,93.2,2.1,13.15,2.88,1.9,8.11,18.16,False,False,
E2,rvol_top_q,volume,6101,6099,182,1038,0.3268,0.1873,1.745,13.9,0.0,True,1220,4881,80.0,182,1038,32.7,18.7,0.573,92.3,1.2,12.45,2.19,2.5,8.14,16.8,False,True,
E2,prev_rvol_ge_2_0,volume,6101,6099,235,2028,0.4219,0.3659,1.153,5.6,0.009146,True,2263,3838,62.9,235,2028,42.2,36.6,0.867,91.6,0.5,9.27,-0.99,2.5,4.13,14.46,False,False,
