row,feature,family,n0,n_defined,n_L,n_W,p_feat_L,p_feat_W,lift,delta_pp,p_two_prop,bh_sig,n_drop,n_keep,n_keep_pct,losers_dropped,winners_dropped,loser_cut_pct,winner_cut_pct,collateral,wr_keep,wr_delta_pp,net_keep,net_delta_bps,maxdd_keep,ci_lo_keep,ci_hi_keep,cut50,disc,notes
E1,event_red,color,6420,6420,307,2490,0.5016,0.4287,1.17,7.3,0.00054,True,2797,3623,56.4,307,2490,50.2,42.9,0.855,91.6,1.0,16.51,-4.25,8.8,2.35,30.33,False,False,
E1,event_green,color,6420,6420,303,3266,0.4951,0.5623,0.88,-6.7,0.001454,True,3569,2851,44.4,303,3266,49.5,56.2,1.136,89.2,-1.5,26.49,5.73,15.2,5.45,45.23,False,False,
E1,prev_red,color,6420,6420,270,2674,0.4412,0.4604,0.958,-1.9,0.364008,False,2944,3476,54.1,270,2674,44.1,46.0,1.044,90.2,-0.5,21.27,0.51,9.6,5.19,36.92,False,False,
E1,prev_green,color,6420,6420,340,3110,0.5556,0.5355,1.038,2.0,0.343151,False,3450,2970,46.3,340,3110,55.6,53.5,0.964,90.8,0.2,20.27,-0.49,13.8,1.37,37.88,False,False,
E1,rr,color,6420,6420,140,1151,0.2288,0.1982,1.154,3.1,0.07259,False,1291,5129,79.9,140,1151,22.9,19.8,0.866,90.8,0.2,20.53,-0.23,12.7,8.55,31.99,False,False,
E1,rg,color,6420,6420,166,1333,0.2712,0.2295,1.182,4.2,0.020284,False,1499,4921,76.7,166,1333,27.1,23.0,0.846,90.9,0.3,17.73,-3.03,18.0,3.21,31.13,False,False,
E1,gr,color,6420,6420,129,1500,0.2108,0.2583,0.816,-4.7,0.010246,True,1629,4791,74.6,129,1500,21.1,25.8,1.225,89.9,-0.7,21.51,0.75,19.4,5.89,35.65,False,False,
E1,gg,color,6420,6420,173,1748,0.2827,0.301,0.939,-1.8,0.347452,False,1921,4499,70.1,173,1748,28.3,30.1,1.065,90.2,-0.4,23.82,3.06,18.1,9.28,37.7,False,False,
E1,rvol_ge_1_3,volume,6420,6418,318,2393,0.5196,0.4122,1.261,10.7,0.0,True,2711,3709,57.8,318,2393,52.0,41.2,0.793,92.1,1.5,16.91,-3.85,14.2,1.16,32.02,False,False,
E1,rvol_ge_2_0,volume,6420,6418,184,1125,0.3007,0.1938,1.552,10.7,0.0,True,1309,5111,79.6,184,1125,30.1,19.4,0.644,91.6,1.0,23.32,2.56,15.6,10.64,35.63,False,True,
E1,rvol_top_q,volume,6420,6418,609,5757,0.9951,0.9916,1.004,0.4,0.353144,False,6366,54,0.8,609,5757,99.5,99.1,0.996,94.4,3.8,-110.52,-131.28,2.2,-380.03,96.99,False,False,
E1,prev_rvol_ge_2_0,volume,6420,6418,141,943,0.2304,0.1624,1.419,6.8,2e-05,True,1084,5336,83.1,141,943,23.0,16.2,0.705,91.2,0.6,24.87,4.11,16.1,11.53,36.66,False,False,
E1,event_vol_gt_prev,volume,6420,6420,383,3280,0.6258,0.5647,1.108,6.1,0.003691,True,3663,2757,42.9,383,3280,62.6,56.5,0.902,91.7,1.1,20.29,-0.47,11.2,1.92,37.67,False,False,
E1,body_fat,shape,6420,6420,19,201,0.031,0.0346,0.897,-0.4,0.645024,False,220,6200,96.6,19,201,3.1,3.5,1.115,90.4,-0.2,18.1,-2.66,22.3,6.26,30.44,False,False,
E1,body_thin,shape,6420,6420,319,3072,0.5212,0.5289,0.985,-0.8,0.717221,False,3391,3029,47.2,319,3072,52.1,52.9,1.015,90.3,-0.3,25.95,5.19,15.6,5.12,44.93,False,False,
E1,doji,shape,6420,6420,117,1110,0.1912,0.1911,1.0,0.0,0.997098,False,1227,5193,80.9,117,1110,19.1,19.1,1.0,90.5,-0.2,23.1,2.34,21.2,9.73,36.72,False,False,
E1,long_upper_wick,shape,6420,6420,420,3793,0.6863,0.6531,1.051,3.3,0.099923,False,4213,2207,34.4,420,3793,68.6,65.3,0.952,91.3,0.7,14.66,-6.1,11.5,-8.41,36.31,False,False,
E1,long_lower_wick,shape,6420,6420,20,180,0.0327,0.031,1.054,0.2,0.819162,False,200,6220,96.9,20,180,3.3,3.1,0.948,90.5,-0.1,20.95,0.19,19.7,8.98,33.19,False,False,
E1,prev_long_upper_wick,shape,6420,6420,189,1775,0.3088,0.3056,1.011,0.3,0.869775,False,1964,4456,69.4,189,1775,30.9,30.6,0.99,90.5,-0.1,18.31,-2.45,13.6,3.96,31.61,False,False,
E1,prev_long_lower_wick,shape,6420,6420,190,1986,0.3105,0.3419,0.908,-3.1,0.117563,False,2176,4244,66.1,190,1986,31.0,34.2,1.101,90.1,-0.6,16.22,-4.54,17.8,0.89,31.74,False,False,
E1,inside_bar,shape,6420,6420,66,738,0.1078,0.1271,0.849,-1.9,0.171756,False,804,5616,87.5,66,738,10.8,12.7,1.178,90.3,-0.3,21.35,0.59,18.9,7.64,33.73,False,False,
E1,outside_bar,shape,6420,6420,99,725,0.1618,0.1248,1.296,3.7,0.009365,True,824,5596,87.2,99,725,16.2,12.5,0.772,90.8,0.2,21.64,0.88,19.6,8.42,33.92,False,False,
E1,hammer_like,shape,6420,6420,20,180,0.0327,0.031,1.054,0.2,0.819162,False,200,6220,96.9,20,180,3.3,3.1,0.948,90.5,-0.1,20.95,0.19,19.7,8.98,33.19,False,False,
E1,range_expand,volrange,6420,6418,232,1504,0.3791,0.259,1.463,12.0,0.0,True,1736,4684,73.0,232,1504,37.9,25.9,0.683,91.9,1.3,19.65,-1.11,16.3,6.64,31.82,False,False,
E1,range_contract,volrange,6420,6418,7,150,0.0114,0.0258,0.443,-1.4,0.028311,False,157,6263,97.6,7,150,1.1,2.6,2.258,90.3,-0.3,20.58,-0.18,21.3,7.85,32.46,False,False,
E1,range_pctile_high,volrange,6420,6409,334,2431,0.5458,0.4194,1.301,12.6,0.0,True,2765,3655,56.9,334,2431,54.6,41.9,0.767,92.4,1.8,18.5,-2.26,13.3,4.27,32.87,False,False,
E1,vol_regime_high,volrange,6420,6409,0,0,0.0,0.0,inf,0.0,1.0,False,0,6420,100.0,0,0,0.0,0.0,nan,90.5,-0.2,20.76,0.0,22.1,8.63,31.92,False,False,
E1,low_volume,volrange,6420,6418,34,530,0.0556,0.0913,0.609,-3.6,0.002984,True,564,5856,91.2,34,530,5.6,9.1,1.643,90.1,-0.5,23.1,2.34,17.3,10.58,35.3,False,False,
E1,volume_slope_up,volrange,6420,6419,403,3153,0.6585,0.543,1.213,11.6,0.0,True,3556,2864,44.6,403,3153,65.8,54.3,0.824,92.7,2.1,31.01,10.25,8.2,14.27,46.89,False,False,
